circuit,dtype,eta,frac_finite,frac_onehot,fwd_rel_err,label,max_entropy,mean_entropy,n_free,n_lookups_scored,pred_unchanged,pred_v,prune,prune_nz,quant,selector_hit
CKT_0047,f64,1.0,1.0,0.03571428571428571,1.0,prune 50%(nz),3.332204510175204,2.4246336834707694,4,280,False,0.0,0.5,True,,0.5857142857142857
CKT_0047,f64,5.348319039019464e-17,1.0,1.0,1.4424701120726144e-16,prune 90%,-0.0,0.0,4,280,True,3.25,0.9,False,,1.0
CKT_0047,f64,1.0,1.0,0.03571428571428571,1.0,prune 90%(nz),3.332204510175204,2.4246336834707694,4,280,False,0.0,0.9,True,,0.5857142857142857
CKT_0070,f64,5.33165050942389e-19,1.0,1.0,7.177412648790202e-19,f64,-0.0,0.0,4,330,True,0.0,0.0,False,,1.0
CKT_0070,f32,3.376567728199899e-10,1.0,1.0,1.251071973490011e-07,f32,-0.0,0.0,4,330,True,0.0,0.0,False,,1.0
CKT_0070,bf16,0.00043394120412781835,1.0,0.9484848484848485,0.004414857738264236,bf16,1.0988029846863339,0.04308314210387092,4,330,True,0.0,0.0,False,,0.9606060606060606
CKT_0070,f16,inf,0.0,0.0,inf,f16,-0.0,0.0,4,330,True,0.0,0.0,False,,0.5515151515151515
CKT_0070,f64,1.0,1.0,0.03333333333333333,1.0,per_tensor int8,3.4011973816621546,2.488607878294339,4,330,True,0.0,0.0,False,per_tensor_int8,0.5515151515151515
CKT_0070,f64,1.0,1.0,1.0,1.0,per_channel int8,-0.0,0.0,4,330,True,0.0,0.0,False,per_channel_int8,0.3484848484848485
CKT_0070,f64,5.33165050942389e-19,1.0,1.0,7.177412648790202e-19,prune 10%,-0.0,0.0,4,330,True,0.0,0.1,False,,1.0
CKT_0070,f64,1.0,1.0,1.0,1.0,prune 10%(nz),-0.0,0.0,4,330,True,0.0,0.1,True,,0.15757575757575756
CKT_0070,f64,5.33165050942389e-19,1.0,1.0,7.177412648790202e-19,prune 50%,-0.0,0.0,4,330,True,0.0,0.5,False,,1.0
CKT_0070,f64,1.0,1.0,0.03333333333333333,1.0,prune 50%(nz),3.4011973816621546,2.488607878294339,4,330,True,0.0,0.5,True,,0.5515151515151515
CKT_0070,f64,5.33165050942389e-19,1.0,1.0,7.177412648790202e-19,prune 90%,-0.0,0.0,4,330,True,0.0,0.9,False,,1.0
CKT_0070,f64,1.0,1.0,0.03333333333333333,1.0,prune 90%(nz),3.4011973816621546,2.488607878294339,4,330,True,0.0,0.9,True,,0.5515151515151515
CKT_0096,f64,4.7299587213834815e-17,1.0,1.0,1.270636189150214e-16,f64,-0.0,0.0,5,585,True,11.3,0.0,False,,1.0
CKT_0096,f32,2.1538510174099487e-08,1.0,1.0,1.1629099338632948e-07,f32,-0.0,0.0,5,585,True,11.3,0.0,False,,1.0
CKT_0096,bf16,0.16087418816878837,1.0,0.9299145299145299,0.693293460032525,bf16,1.3862943611198906,0.06164015858925504,5,585,False,3.5,0.0,False,,0.9384615384615385
CKT_0096,f16,inf,0.0,0.0,inf,f16,-0.0,0.0,5,585,False,0.0,0.0,False,,0.5299145299145299
CKT_0096,f64,1.0,1.0,0.02564102564102564,1.0,per_tensor int8,3.663561646129646,2.734147698990858,5,585,False,0.0,0.0,False,per_tensor_int8,0.5299145299145299
CKT_0096,f64,1.0,1.0,1.0,1.0,per_channel int8,-0.0,0.0,5,585,False,0.0,0.0,False,per_channel_int8,0.335042735042735
CKT_0096,f64,4.7299587213834815e-17,1.0,1.0,1.270636189150214e-16,prune 10%,-0.0,0.0,5,585,True,11.3,0.1,False,,1.0
CKT_0096,f64,1.0,1.0,1.0,1.0,prune 10%(nz),-0.0,0.0,5,585,False,0.0,0.1,True,,0.1641025641025641
CKT_0096,f64,4.7299587213834815e-17,1.0,1.0,1.270636189150214e-16,prune 50%,-0.0,0.0,5,585,True,11.3,0.5,False,,1.0
CKT_0096,f64,1.0,1.0,0.02564102564102564,1.0,prune 50%(nz),3.663561646129646,2.734147698990858,5,585,False,0.0,0.5,True,,0.5299145299145299
CKT_0096,f64,4.7299587213834815e-17,1.0,1.0,1.270636189150214e-16,prune 90%,-0.0,0.0,5,585,True,11.3,0.9,False,,1.0
CKT_0096,f64,1.0,1.0,0.02564102564102564,1.0,prune 90%(nz),3.663561646129646,2.734147698990858,5,585,False,0.0,0.9,True,,0.5299145299145299
CKT_0094,f64,1.850813168247047e-17,1.0,1.0,9.70987480031789e-17,f64,-0.0,0.0,6,672,True,4.15,0.0,False,,1.0
CKT_0094,f32,5.883771330446894e-09,1.0,1.0,3.247181690573198e-08,f32,-0.0,0.0,6,672,True,4.15,0.0,False,,1.0
CKT_0094,bf16,0.06417867775024455,1.0,0.9538690476190477,0.37603035679039265,bf16,1.6100325899634482,0.048664552726369256,6,672,False,2.75,0.0,False,,0.9464285714285714
CKT_0094,f16,inf,0.0,0.0,inf,f16,-0.0,0.0,6,672,False,0.0,0.0,False,,0.5833333333333334
CKT_0094,f64,1.0,1.0,0.023809523809523808,1.0,per_tensor int8,3.7376696182833697,2.804092414279645,6,672,False,0.0,0.0,False,per_tensor_int8,0.5833333333333334
CKT_0094,f64,1.0,1.0,1.0,1.0,per_channel int8,-0.0,0.0,6,672,False,0.0,0.0,False,per_channel_int8,0.3005952380952381
CKT_0094,f64,1.850813168247047e-17,1.0,1.0,9.70987480031789e-17,prune 10%,-0.0,0.0,6,672,True,4.15,0.1,False,,1.0
CKT_0094,f64,1.0,1.0,1.0,1.0,prune 10%(nz),-0.0,0.0,6,672,False,0.0,0.1,True,,0.14434523809523808
CKT_0094,f64,1.850813168247047e-17,1.0,1.0,9.70987480031789e-17,prune 50%,-0.0,0.0,6,672,True,4.15,0.5,False,,1.0
CKT_0094,f64,1.0,1.0,0.023809523809523808,1.0,prune 50%(nz),3.7376696182833697,2.804092414279645,6,672,False,0.0,0.5,True,,0.5833333333333334
CKT_0094,f64,1.850813168247047e-17,1.0,1.0,9.70987480031789e-17,prune 90%,-0.0,0.0,6,672,True,4.15,0.9,False,,1.0
CKT_0094,f64,1.0,1.0,0.023809523809523808,1.0,prune 90%(nz),3.7376696182833697,2.804092414279645,6,672,False,0.0,0.9,True,,0.5833333333333334
CKT_0057,f64,1.4558366962614307e-19,1.0,1.0,2.7247009925490733e-17,f64,-0.0,0.0,7,931,True,7.55,0.0,False,,1.0
