circuit,n_free,kappa,growth,rhs,family,eta,fwd_rel_err,host_rel_diff,bitwise_host,selector_hit,n_lookups,bnorm,xnorm
CKT_0106,17,26070.34759856174,1.8386057460355936,wide_7,wide,6.070719487387409e-21,5.246328118939525e-21,4.297791995035259e-17,False,1.0,38808,4690779.779918654,2840302942557.799
CKT_0106,17,26070.34759856174,1.8386057460355936,wide_8,wide,1.7580930836363488e-20,1.2447384050087434e-16,3.038912121603377e-20,False,1.0,38808,14039985.909555966,3922761987861.781
CKT_0106,17,26070.34759856174,1.8386057460355936,wide_9,wide,1.2967785649881777e-18,1.1223882435094895e-17,7.01492652193431e-19,False,1.0,38808,50109565.04353805,42484154744.1862
CKT_0106,17,26070.34759856174,1.8386057460355936,adversarial_minsv,adversarial,6.25527908817413e-21,2.7028491274696715e-21,2.7028491274696715e-21,False,1.0,38808,685.6490906548505,672989618.6431764
CKT_0146,17,6158.527386623071,3.7584909440283942,identity_e0,identity,9.371325746990302e-17,2.7629781281628207e-16,2.947176670040342e-16,False,1.0,38808,1.0,24.109268473218947
CKT_0146,17,6158.527386623071,3.7584909440283942,identity_e1,identity,1.2619875410983608e-17,2.076501887347327e-16,2.0765018873473273e-17,False,1.0,38808,1.0,684.3651239516074
CKT_0146,17,6158.527386623071,3.7584909440283942,identity_e2,identity,8.34447962972643e-18,1.643638432998005e-16,2.191517910664006e-16,False,1.0,38808,1.0,1037.5168477374673
CKT_0146,17,6158.527386623071,3.7584909440283942,identity_e3,identity,4.5231803825246544e-17,6.066197378181145e-16,1.5165493445452863e-16,False,1.0,38808,1.0,187.41038353042057
CKT_0146,17,6158.527386623071,3.7584909440283942,identity_e4,identity,6.119228001719131e-20,3.500862661849763e-18,8.752156654624408e-19,False,1.0,38808,1.0,32473.949624046927
CKT_0146,17,6158.527386623071,3.7584909440283942,identity_e5,identity,2.934868179847343e-17,1.0909008759374993e-15,1.9834561380681814e-16,False,1.0,38808,1.0,143.29386410372445
CKT_0146,17,6158.527386623071,3.7584909440283942,identity_e6,identity,5.270338587901764e-18,1.8772095942606703e-16,1.3408639959004788e-17,False,1.0,38808,1.0,16.55981558188634
CKT_0146,17,6158.527386623071,3.7584909440283942,identity_e7,identity,4.120001754338376e-17,7.15488730236259e-16,4.769924868241727e-16,False,1.0,38808,1.0,14.896308755110812
CKT_0146,17,6158.527386623071,3.7584909440283942,source,source,1.880342079835586e-16,6.933849339628007e-16,4.2669842090018496e-16,False,1.0,38808,6000.0,136414.05278854677
CKT_0146,17,6158.527386623071,3.7584909440283942,ones,ones,2.092035796195266e-18,2.18773085209835e-16,2.734663565122938e-17,False,1.0,38808,1.0,33258.010724695545
CKT_0146,17,6158.527386623071,3.7584909440283942,gaussian_0,gaussian,3.951930439335392e-18,1.4078280446176302e-16,1.759785055772038e-17,False,1.0,38808,2.1720278414331777,12920.536783594893
CKT_0146,17,6158.527386623071,3.7584909440283942,gaussian_1,gaussian,1.3032109936125659e-18,2.1809166758334904e-17,1.635687506875118e-17,False,1.0,38808,1.407359797807276,20851.202429027755
CKT_0146,17,6158.527386623071,3.7584909440283942,gaussian_2,gaussian,2.534733956006758e-19,1.8851224404823843e-16,4.418255719880589e-18,False,1.0,38808,1.976236494974385,38596.737580194414
CKT_0146,17,6158.527386623071,3.7584909440283942,gaussian_3,gaussian,5.989833166293707e-19,1.314480994562465e-16,1.314480994562465e-16,False,1.0,38808,2.5669012525255206,55352.32266028528
CKT_0146,17,6158.527386623071,3.7584909440283942,gaussian_4,gaussian,1.7195075408719258e-18,3.4110915537766506e-17,1.9846350858336882e-16,False,1.0,38808,2.82359148889651,36661.43799491989
CKT_0146,17,6158.527386623071,3.7584909440283942,gaussian_5,gaussian,2.5208700358640553e-19,3.1018007640547665e-18,6.203601528109533e-18,False,1.0,38808,2.0947717266248,36651.88268668849
CKT_0146,17,6158.527386623071,3.7584909440283942,gaussian_6,gaussian,1.008039275837603e-18,1.8256928855842708e-17,1.2982704964154816e-16,False,1.0,38808,2.308555838396772,14010.866060409426
CKT_0146,17,6158.527386623071,3.7584909440283942,gaussian_7,gaussian,1.3050216630529508e-18,4.553860856402731e-17,6.071814475203641e-17,False,1.0,38808,1.841041522141411,7489.48033151511
CKT_0146,17,6158.527386623071,3.7584909440283942,gaussian_8,gaussian,1.2592007103069815e-19,1.7512330508216395e-16,2.736301641908812e-18,False,1.0,38808,1.541833521479301,41547.62617556645
CKT_0146,17,6158.527386623071,3.7584909440283942,gaussian_9,gaussian,1.2675124989560087e-18,1.295703203618798e-16,1.295703203618798e-16,False,1.0,38808,1.6756869477622258,14038.62704410671
CKT_0146,17,6158.527386623071,3.7584909440283942,wide_0,wide,6.824721900517959e-19,1.5515150522530363e-17,1.985939266883887e-16,False,1.0,38808,4915771.099510438,153668234642.86884
CKT_0146,17,6158.527386623071,3.7584909440283942,wide_1,wide,2.173227042173319e-17,7.369690985589964e-16,3.2754182158177617e-16,False,1.0,38808,32151216.133910276,5823221668.614611
CKT_0146,17,6158.527386623071,3.7584909440283942,wide_2,wide,1.144672490748393e-18,3.677598164380745e-17,3.677598164380745e-17,False,1.0,38808,43328763.964737184,103727952188.25493
CKT_0146,17,6158.527386623071,3.7584909440283942,wide_3,wide,4.4125489468149337e-17,7.470753122123991e-16,1.8676882805309978e-16,False,1.0,38808,2406509.29116179,39891992.012744084
CKT_0146,17,6158.527386623071,3.7584909440283942,wide_4,wide,1.0120955596588739e-17,3.2500528463771616e-16,1.1818373986826045e-16,False,1.0,38808,2109288.270416111,2017355173.963254
CKT_0146,17,6158.527386623071,3.7584909440283942,wide_5,wide,9.11053182268726e-18,1.4271521152084982e-16,1.1417216921667987e-16,False,1.0,38808,32204232.44625146,33411796340.53669
CKT_0146,17,6158.527386623071,3.7584909440283942,wide_6,wide,1.7634765361803715e-18,3.866646803740757e-17,1.7676099674243462e-16,False,1.0,38808,163559478.0070645,43162205870.377
CKT_0146,17,6158.527386623071,3.7584909440283942,wide_7,wide,1.1713492075569267e-17,2.367667825339809e-16,4.7353356506796185e-17,False,1.0,38808,2702379.2398169735,2517441177.240989
CKT_0146,17,6158.527386623071,3.7584909440283942,wide_8,wide,2.5846844320925318e-17,5.646015265687242e-16,1.4115038164218106e-16,False,1.0,38808,1777148.7690110374,26392350.16668674
CKT_0146,17,6158.527386623071,3.7584909440283942,wide_9,wide,7.793669544503624e-18,1.0214140990862709e-16,2.7237709308967223e-17,False,1.0,38808,7774873.657637793,547078354.6743368
CKT_0146,17,6158.527386623071,3.7584909440283942,adversarial_minsv,adversarial,2.261396907009537e-19,4.381882741909615e-18,1.1217619819288616e-16,False,1.0,38808,8180.332454670436,265674206.0062549
CKT_0086,19,34827.468309445016,4.177014592384669,identity_e0,identity,1.9814370171458485e-19,1.2788684937448156e-16,1.354952237552707e-16,False,1.0,48840,1.0,6712.374625216628
CKT_0086,19,34827.468309445016,4.177014592384669,identity_e1,identity,5.110146521743183e-19,2.674412680305357e-16,1.747669805126155e-16,False,1.0,48840,1.0,5204.04197123081
CKT_0086,19,34827.468309445016,4.177014592384669,identity_e2,identity,1.5148289582517732e-19,2.7253472653989647e-16,3.1438757207197864e-18,False,1.0,48840,1.0,9040.341271472682
CKT_0086,19,34827.468309445016,4.177014592384669,identity_e3,identity,2.885628087284078e-17,7.147874821624887e-14,3.18390860651443e-16,False,1.0,48840,1.0,178.5334501891909
CKT_0086,19,34827.468309445016,4.177014592384669,identity_e4,identity,1.0511415035518109e-17,3.491517881697591e-14,1.8268242677292835e-16,False,1.0,48840,1.0,2489.2780270086323
CKT_0086,19,34827.468309445016,4.177014592384669,identity_e5,identity,1.575515377234186e-16,2.293934763868665e-13,1.0163645387101078e-16,False,1.0,48840,1.0,4474.254399544427
CKT_0086,19,34827.468309445016,4.177014592384669,identity_e6,identity,8.192297242844985e-17,2.3583645700211065e-13,4.1593731393671214e-16,False,1.0,48840,1.0,4373.229673312331
CKT_0086,19,34827.468309445016,4.177014592384669,identity_e7,identity,1.4429010524492738e-20,1.577396052184447e-16,1.577396052184447e-16,False,1.0,48840,1.0,92252.76815048906
CKT_0086,19,34827.468309445016,4.177014592384669,source,source,5.87230758830963e-17,1.4171003615619557e-13,3.2520949203946237e-16,False,1.0,48840,500.0,89492.56146927628
CKT_0086,19,34827.468309445016,4.177014592384669,ones,ones,3.6180188118355924e-17,6.361949118516279e-14,2.7451776131677577e-16,False,1.0,48840,1.0,212036.04690007484
CKT_0086,19,34827.468309445016,4.177014592384669,gaussian_0,gaussian,1.9358145327294692e-17,6.588508320175865e-14,1.2818109572326586e-16,False,1.0,48840,2.7322219843562294,227052.4393048322
CKT_0086,19,34827.468309445016,4.177014592384669,gaussian_1,gaussian,1.5251025165060626e-17,5.480224770395369e-14,2.3899802749216607e-17,False,1.0,48840,1.506854306586102,152217.94276988163
CKT_0086,19,34827.468309445016,4.177014592384669,gaussian_2,gaussian,4.756685554282816e-19,1.569921671448098e-15,1.1182524983047106e-16,False,1.0,48840,2.4810584792408252,520523.41489700385
CKT_0086,19,34827.468309445016,4.177014592384669,gaussian_3,gaussian,3.177096974912856e-17,1.3705081035804768e-13,1.9141174631012246e-16,False,1.0,48840,2.0262289488331673,38012.074778289876
CKT_0086,19,34827.468309445016,4.177014592384669,gaussian_4,gaussian,2.0138345794167167e-18,2.6391512852023036e-14,1.9441261769446066e-16,False,1.0,48840,3.616060332914235,149701.3455292977
CKT_0086,19,34827.468309445016,4.177014592384669,gaussian_5,gaussian,1.0082985556519623e-16,2.7211466809170434e-13,1.5720084811768015e-16,False,1.0,48840,2.7651779837399713,46284.4679358006
CKT_0086,19,34827.468309445016,4.177014592384669,gaussian_6,gaussian,2.000452220803103e-17,5.596981943381088e-14,1.2926055296492122e-16,False,1.0,48840,2.689951573085897,112578.16011599424
CKT_0086,19,34827.468309445016,4.177014592384669,gaussian_7,gaussian,5.881367383931343e-17,1.7020368783137518e-13,1.3551249031160445e-16,False,1.0,48840,1.263316220911871,53692.15485194547
CKT_0086,19,34827.468309445016,4.177014592384669,gaussian_8,gaussian,4.282810430426977e-18,1.94673675391327e-14,2.763778887543241e-16,False,1.0,48840,2.256489358093404,210608.96432713172
CKT_0086,19,34827.468309445016,4.177014592384669,gaussian_9,gaussian,2.863812461504565e-17,5.4782050729344365e-14,2.600928224538605e-16,False,1.0,48840,1.411475928264738,111897.8608565664
CKT_0086,19,34827.468309445016,4.177014592384669,wide_0,wide,1.779537194840227e-16,2.9631329831057944e-13,7.668563620876481e-17,False,1.0,48840,35346173.23805339,596935351268.1423
CKT_0086,19,34827.468309445016,4.177014592384669,wide_1,wide,2.469858691234849e-19,1.6885581250791561e-16,2.3085755616316593e-18,False,1.0,48840,2498979.4140662653,22591447750.406425
CKT_0086,19,34827.468309445016,4.177014592384669,wide_2,wide,1.2297138622734404e-17,2.432901049947792e-14,1.646633536343682e-16,False,1.0,48840,77383361.57772149,34749965746.131905
CKT_0086,19,34827.468309445016,4.177014592384669,wide_3,wide,3.230526789423054e-17,9.50999535770054e-14,1.2286815707623437e-16,False,1.0,48840,5967626.944205626,31047078074.575054
CKT_0086,19,34827.468309445016,4.177014592384669,wide_4,wide,1.7284210723699984e-20,9.554739358510532e-18,3.3784713753849396e-18,False,1.0,48840,86709106.83304563,2258238618458.241
CKT_0086,19,34827.468309445016,4.177014592384669,wide_5,wide,1.5309980857362796e-16,2.915008452965549e-13,2.7435373674977876e-16,False,1.0,48840,88433.5013660894,1738037775.0714548
CKT_0086,19,34827.468309445016,4.177014592384669,wide_6,wide,3.9125861702796853e-17,6.729592265224713e-14,1.9851304617182084e-16,False,1.0,48840,63907160.61946,38432710989.918816
CKT_0086,19,34827.468309445016,4.177014592384669,wide_7,wide,1.194362277965975e-16,2.955559602834053e-13,1.4091987934686555e-16,False,1.0,48840,88426159.14434369,324839670596.2564
CKT_0086,19,34827.468309445016,4.177014592384669,wide_8,wide,2.590819757316531e-18,4.326686387459733e-15,1.5662213167275051e-16,False,1.0,48840,11023005.3749468,97424220316.3345
CKT_0086,19,34827.468309445016,4.177014592384669,wide_9,wide,2.98074921365277e-19,1.0485737667199115e-15,2.374479294827929e-16,False,1.0,48840,29256009.391685963,514092975103.60516
CKT_0086,19,34827.468309445016,4.177014592384669,adversarial_minsv,adversarial,2.5195764299083183e-21,5.418318460918702e-18,1.4266569652662435e-16,False,1.0,48840,499.94773307112047,104448101.79766507
CKT_0087,20,57789.73634054631,1.741180824779028,identity_e0,identity,5.0855354332482e-19,1.6206172408145389e-16,1.6206172408145389e-16,False,1.0,51528,1.0,22448.106286116188
CKT_0087,20,57789.73634054631,1.741180824779028,identity_e1,identity,3.654777860599693e-17,3.5151919016606565e-14,2.846309232113897e-16,False,1.0,51528,1.0,99.85460859182811
CKT_0087,20,57789.73634054631,1.741180824779028,identity_e2,identity,6.0887326194455405e-18,1.6919047826375504e-14,2.0974026231043853e-16,False,1.0,51528,1.0,52035.4857052735
CKT_0087,20,57789.73634054631,1.741180824779028,identity_e3,identity,1.2540408396043469e-17,4.211888538579503e-14,1.6199571302228188e-16,False,1.0,51528,1.0,44914.507170832636
CKT_0087,20,57789.73634054631,1.741180824779028,identity_e4,identity,3.130183023205695e-17,1.1348958790201352e-14,1.1791126015793624e-16,False,1.0,51528,1.0,482.0864333454591
CKT_0087,20,57789.73634054631,1.741180824779028,identity_e5,identity,5.3218746643887984e-17,3.502781473359314e-14,3.0726153275081774e-16,False,1.0,51528,1.0,138.7500861690359
CKT_0087,20,57789.73634054631,1.741180824779028,identity_e6,identity,1.2718381911395594e-17,5.072170747296464e-14,5.699068255389e-16,False,1.0,51528,1.0,38300.77455540211
CKT_0087,20,57789.73634054631,1.741180824779028,identity_e7,identity,2.0690370926676605e-17,5.058798063341505e-14,1.901803783210996e-16,False,1.0,51528,1.0,38258.19297666311
CKT_0087,20,57789.73634054631,1.741180824779028,source,source,9.354347533580697e-17,3.6789359124045823e-14,2.4283405362406526e-16,False,1.0,51528,2400.0,239701.3929668179
CKT_0087,20,57789.73634054631,1.741180824779028,ones,ones,1.412400726549064e-17,5.012009871364464e-14,6.750181644934978e-16,False,1.0,51528,1.0,344925.0048383144
CKT_0087,20,57789.73634054631,1.741180824779028,gaussian_0,gaussian,1.2092402576786127e-17,4.871649944657242e-14,3.2262582414947196e-16,False,1.0,51528,1.3806681072526585,90209.24017306796
CKT_0087,20,57789.73634054631,1.741180824779028,gaussian_1,gaussian,2.0795990640333885e-17,4.5171012491910486e-14,1.6190327058031715e-16,False,1.0,51528,2.5048111540610045,179760.60861782182
CKT_0087,20,57789.73634054631,1.741180824779028,gaussian_2,gaussian,2.9098947766695764e-17,4.8060477603982335e-14,4.0960634321573935e-16,False,1.0,51528,1.9481930084391708,213159.51966157477
CKT_0087,20,57789.73634054631,1.741180824779028,gaussian_3,gaussian,1.6390502653451068e-17,4.960049191495885e-14,4.679291690090224e-16,False,1.0,51528,3.2028576158347013,124394.17067488913
CKT_0087,20,57789.73634054631,1.741180824779028,gaussian_4,gaussian,8.157851956411853e-18,1.6407105736006856e-14,1.9485873795732461e-16,False,1.0,51528,2.3396316112010873,46674.56596029652
CKT_0087,20,57789.73634054631,1.741180824779028,gaussian_5,gaussian,2.4293661504137105e-17,3.937454900029304e-14,5.215172053019037e-16,False,1.0,51528,1.7520022325100713,55806.079187522926
CKT_0087,20,57789.73634054631,1.741180824779028,gaussian_6,gaussian,3.293869668322487e-17,4.7489706329211e-14,4.551729041138238e-16,False,1.0,51528,2.6371899332904376,191820.49410473558
CKT_0087,20,57789.73634054631,1.741180824779028,gaussian_7,gaussian,1.4893522499817497e-17,4.437392310749611e-14,2.1967288667076423e-16,False,1.0,51528,1.9819299048336605,66243.56537079882
CKT_0087,20,57789.73634054631,1.741180824779028,gaussian_8,gaussian,1.3549038585610062e-17,4.7060937988732787e-14,6.171926293604011e-16,False,1.0,51528,2.651677612161948,188620.7259921045
CKT_0087,20,57789.73634054631,1.741180824779028,gaussian_9,gaussian,2.6647769956264075e-17,4.8060832917080105e-14,5.933436162602204e-16,False,1.0,51528,2.4255156142630185,122626.37390527583
CKT_0087,20,57789.73634054631,1.741180824779028,wide_0,wide,1.8806943470618818e-17,4.0058304860868234e-14,4.431228413812695e-16,False,1.0,51528,21616766.089809418,344346705643.43835
CKT_0087,20,57789.73634054631,1.741180824779028,wide_1,wide,9.80281915508323e-17,3.4446658609602756e-14,2.561089859450024e-16,False,1.0,51528,4661612.226464113,465463127.39054227
CKT_0087,20,57789.73634054631,1.741180824779028,wide_2,wide,1.2674464592630196e-17,2.176506112675073e-14,9.46307005510892e-17,False,1.0,51528,89815195.66175692,322491305118.5136
CKT_0087,20,57789.73634054631,1.741180824779028,wide_3,wide,1.2168130873221922e-17,4.666477283988822e-14,4.0934011263058196e-16,False,1.0,51528,49456703.323416665,1789274621275.61
CKT_0087,20,57789.73634054631,1.741180824779028,wide_4,wide,4.2481183641815475e-18,1.583344476373407e-14,1.287271932010891e-16,False,1.0,51528,4604491.1355191395,237071727939.62396
CKT_0087,20,57789.73634054631,1.741180824779028,wide_5,wide,2.4830667764005855e-17,1.3388333700111315e-14,1.7219721800786283e-16,False,1.0,51528,1277104.5442165397,1384566962.5781987
CKT_0087,20,57789.73634054631,1.741180824779028,wide_6,wide,2.162216398008513e-17,4.592149470023796e-14,4.1185197040570507e-16,False,1.0,51528,2206948.5642160266,74098414765.23201
CKT_0087,20,57789.73634054631,1.741180824779028,wide_7,wide,3.06883031746971e-17,5.033944945665639e-14,1.5780391679201835e-16,False,1.0,51528,57318194.18660128,1547113848395.6091
CKT_0087,20,57789.73634054631,1.741180824779028,wide_8,wide,2.3624973823014954e-17,4.217592379041025e-14,1.338918215568524e-16,False,1.0,51528,40660707.226959646,1823417010547.835
CKT_0087,20,57789.73634054631,1.741180824779028,wide_9,wide,2.1625853680598172e-17,4.634741137156832e-14,4.4035545246143905e-16,False,1.0,51528,74786.59100427455,541423020.3552215
CKT_0087,20,57789.73634054631,1.741180824779028,adversarial_minsv,adversarial,1.7796779109839754e-17,5.002542828538591e-14,3.387726520454863e-16,False,1.0,51528,802.7105093206811,263914358.5624541
CKT_0127,21,20231.26173490288,1.9998601305182617,identity_e0,identity,5.047843464719337e-18,1.1432540311968073e-16,1.1432540311968073e-16,False,1.0,58080,1.0,31.07545289021521
CKT_0127,21,20231.26173490288,1.9998601305182617,identity_e1,identity,3.7632705039278975e-17,3.8093595921942354e-16,1.9046797960971184e-16,False,1.0,58080,1.0,74.61020348050883
CKT_0127,21,20231.26173490288,1.9998601305182617,identity_e2,identity,3.01064969651484e-17,4.488176128427048e-16,1.4960587094756834e-16,False,1.0,58080,1.0,94.9886165910054
CKT_0127,21,20231.26173490288,1.9998601305182617,identity_e3,identity,3.4513168131617977e-22,4.0156397791790645e-21,2.0078198895895322e-21,False,1.0,58080,1.0,26.999487805331803
CKT_0127,21,20231.26173490288,1.9998601305182617,identity_e4,identity,5.085427744482254e-22,2.4236487640180394e-18,1.5147804775112747e-19,False,1.0,58080,1.0,1465.8533577739393
CKT_0127,21,20231.26173490288,1.9998601305182617,identity_e5,identity,1.1322331659799793e-19,1.3433764848747082e-16,1.3433764848747082e-16,False,1.0,58080,1.0,13540.429090624637
CKT_0127,21,20231.26173490288,1.9998601305182617,identity_e6,identity,6.189074302607787e-20,7.355895484909364e-17,1.4711790969818726e-16,False,1.0,58080,1.0,3091.0400495723416
CKT_0127,21,20231.26173490288,1.9998601305182617,identity_e7,identity,2.3000820992881738e-20,9.47567411953054e-17,9.253588007354042e-20,False,1.0,58080,1.0,9.37324783963897
CKT_0127,21,20231.26173490288,1.9998601305182617,source,source,6.431493377697224e-17,1.2937445618343e-16,1.2937445618343e-16,False,1.0,58080,24000.000000000004,224958.0892187067
CKT_0127,21,20231.26173490288,1.9998601305182617,ones,ones,8.246034368416911e-20,1.9558505118252808e-16,1.9558505118252808e-16,False,1.0,58080,1.0,148803.9616564192
CKT_0127,21,20231.26173490288,1.9998601305182617,gaussian_0,gaussian,8.267123307372476e-20,1.9613743142996236e-16,1.9613743142996236e-16,False,1.0,58080,1.6783428987774376,37096.22156840346
CKT_0127,21,20231.26173490288,1.9998601305182617,gaussian_1,gaussian,3.425661410205117e-20,1.3001679533464513e-16,1.3001679533464513e-16,False,1.0,58080,2.4132750936550136,111923.34952505365
CKT_0127,21,20231.26173490288,1.9998601305182617,gaussian_2,gaussian,5.652922691265962e-20,1.1919119148235496e-16,1.1919119148235496e-16,False,1.0,58080,2.1684035566172684,122088.8477360436
CKT_0127,21,20231.26173490288,1.9998601305182617,gaussian_3,gaussian,1.828861002314093e-20,1.7352100203638763e-16,1.7352100203638763e-16,False,1.0,58080,2.2922662382042915,167725.11750843035
CKT_0127,21,20231.26173490288,1.9998601305182617,gaussian_4,gaussian,1.2625753117144434e-19,1.5978568922502708e-16,1.5978568922502708e-16,False,1.0,58080,1.6055001553753068,22767.86378514991
CKT_0127,21,20231.26173490288,1.9998601305182617,gaussian_5,gaussian,2.476004538557177e-19,1.9589882876040693e-16,1.9589882876040693e-16,False,1.0,58080,2.0515543144728263,18570.702183937636
CKT_0127,21,20231.26173490288,1.9998601305182617,gaussian_6,gaussian,6.737035804344747e-20,4.261831045743745e-17,1.0654577614359362e-17,False,1.0,58080,2.5122230691058056,85361.87305512573
CKT_0127,21,20231.26173490288,1.9998601305182617,gaussian_7,gaussian,1.162797137544389e-19,9.850639927087213e-18,9.850639927087213e-18,False,1.0,58080,1.4823797719210345,92328.48916464877
CKT_0127,21,20231.26173490288,1.9998601305182617,gaussian_8,gaussian,1.6664465388898238e-19,1.9772633490890967e-16,1.9772633490890967e-16,False,1.0,58080,2.855844317389212,36798.12108758996
CKT_0127,21,20231.26173490288,1.9998601305182617,gaussian_9,gaussian,1.3498181969974128e-20,8.576151158379598e-19,4.573947284469119e-18,False,1.0,58080,2.887238433817282,198842.41011284193
CKT_0127,21,20231.26173490288,1.9998601305182617,wide_0,wide,1.5900595353172117e-19,2.9485308217153766e-18,1.4742654108576883e-18,False,1.0,58080,35795872.288220085,323440511248.0485
CKT_0127,21,20231.26173490288,1.9998601305182617,wide_1,wide,5.960711241463957e-17,5.729715439467329e-16,1.9099051464891093e-16,False,1.0,58080,2165034.2240482657,39010212.68317899
CKT_0127,21,20231.26173490288,1.9998601305182617,wide_2,wide,3.744660969864732e-18,1.6638855714335972e-16,8.319427857167986e-17,False,1.0,58080,49869275.5247359,11463219980.74144
CKT_0127,21,20231.26173490288,1.9998601305182617,wide_3,wide,1.8298209821138996e-18,2.512034385133851e-16,5.024068770267701e-17,False,1.0,58080,26908561.14685298,4745527778.451541
CKT_0127,21,20231.26173490288,1.9998601305182617,wide_4,wide,2.3296238192256236e-22,4.7950020017606924e-20,1.918000800704277e-19,False,1.0,58080,15440355.863220328,38845555195.74353
CKT_0127,21,20231.26173490288,1.9998601305182617,wide_5,wide,3.431886061001687e-20,1.6355922780070523e-16,5.1112258687720376e-18,False,1.0,58080,15910866.214787897,23323032988.839733
CKT_0127,21,20231.26173490288,1.9998601305182617,wide_6,wide,3.5896538823458467e-19,2.704714565341651e-18,9.015715217805503e-19,False,1.0,58080,49282.73379886999,4035152.7518381686
CKT_0127,21,20231.26173490288,1.9998601305182617,wide_7,wide,7.182801628805524e-22,1.0676651934051863e-19,4.170567161739009e-22,False,1.0,58080,55475275.30257663,139567734210.03116
CKT_0127,21,20231.26173490288,1.9998601305182617,wide_8,wide,1.6663652996401473e-19,2.3437451120123318e-18,1.4999968716878926e-16,False,1.0,58080,8286090.643751767,6357842035.584479
CKT_0127,21,20231.26173490288,1.9998601305182617,wide_9,wide,6.853460977659066e-21,1.0159693832818648e-18,2.0319387665637297e-18,False,1.0,58080,25409654.7628629,3754736440287.6616
CKT_0127,21,20231.26173490288,1.9998601305182617,adversarial_minsv,adversarial,8.671872886767258e-22,2.5198829342235404e-20,0.0,True,1.0,58080,31260.44010277968,4619870242.615308
CKT_0134,24,51770.31829790472,2.299299570616853,identity_e0,identity,8.514890663555629e-18,5.019692033160153e-15,1.8591451974667147e-16,False,1.0,70752,1.0,2446.00234293753
CKT_0134,24,51770.31829790472,2.299299570616853,identity_e1,identity,1.6097893638385986e-17,5.271886280975969e-15,3.5145908539839627e-16,False,1.0,70752,1.0,2587.7683621180863
