circuit,n_free,kappa,target,truth,v_unrounded,v_pred,err_total,err_quant,err_target,err_solve,passes,knife_edge,n_S,n_clamped
CKT_0099,10,648.0877460490906,7,1.8308,1.8308483583486537,1.85,0.019200000000000106,0.01915164165134642,4.83583486536876e-05,8.881784197001252e-16,True,False,10,0
CKT_0100,8,nan,7,5.0,5.0,5.0,0.0,0.0,0.0,0.0,True,False,0,0
CKT_0101,9,116.31689120341456,7,2.6478,2.6478066734234873,2.65,0.0021999999999997577,0.002193326576512611,6.6734234871468345e-06,2.6645352591003757e-15,True,False,9,0
CKT_0102,8,310.75055509536907,7,10.8656,10.865594738692009,10.85,0.015600000000000946,0.015594738692009003,5.261307991943909e-06,0.0,True,False,8,0
CKT_0103,8,12431.598766139285,7,8.6457,8.645672386178296,8.65,0.004300000000000637,0.004327613821704546,2.7613821703909025e-05,0.0,True,False,8,0
CKT_0104,18,nan,7,15.0,15.0,15.0,0.0,0.0,0.0,0.0,True,False,0,0
CKT_0105,16,13861.727761248243,7,0.0601,0.060145042677021816,0.05,0.010099999999999998,0.010145042677021814,4.504267702181569e-05,0.0,True,False,16,0
CKT_0106,17,26070.34759856174,7,11.7927,11.79271447259429,11.8,0.00730000000000075,0.007285527405711534,1.4472594289216545e-05,1.7763568394002505e-15,True,False,17,0
CKT_0107,27,1918.2675652619027,30,2.2513,2.2512520529667874,2.25,0.0013000000000000789,0.0012520529667874314,4.794703321264748e-05,5.1514348342607263e-14,True,False,27,0
CKT_0108,27,23752.5548633015,30,3.8495,3.8495403289655457,3.85,0.000500000000000167,0.00045967103445443414,4.032896554573284e-05,1.3367085216486885e-13,True,False,27,0
CKT_0109,30,197647.82323650707,35,4.1397,4.139675775546104,4.15,0.010299999999999976,0.010324224453896136,2.4224453896160014e-05,6.063594071292755e-12,True,False,30,0
CKT_0110,31,200927.3014888408,35,5.2916,5.291573253154055,5.3,0.008399999999999963,0.008426746845945132,2.6746845945169184e-05,4.781952611665474e-12,True,False,31,0
