K,circuit,dtype,eta,frac_finite,frac_onehot,frac_tied,fwd_rel_err,max_entropy,mean_entropy,n_free,n_lookups,pred_unchanged,pred_v,prune,prune_nz,quant,selector_hit
10000000000.0,CKT_0093,bf16,0.14930127492348857,1.0,0.16996964074886153,0.8300303592511384,7.817488593985833,4.34727440840399,2.8258528701596393,13,23716,False,8.2,0.0,False,,0.9900489121268342
10000000000.0,CKT_0093,f16,inf,0.012481025468038455,0.0031202563670096137,0.009360769101028841,inf,1.3862943611198906,0.00991626748484265,13,23716,False,0.0,0.0,False,,0.7172373081463991
10000000000.0,CKT_0093,f64,1.0,1.0,0.012987012987012988,0.987012987012987,1.0,4.343805421853685,3.3839602723618603,13,23716,False,0.0,0.0,False,per_tensor_int8,0.8982121774329567
10000000000.0,CKT_0093,f64,1.0,1.0,0.17962556923595885,0.8203744307640412,1.0,4.343805421853685,2.8126423043007667,13,23716,False,0.0,0.0,False,per_channel_int8,0.9223309158374093
10000000000.0,CKT_0093,f64,1.3954627681385046e-17,1.0,0.17962556923595885,0.8203744307640412,2.0190589980337532e-16,4.343805421853685,2.8126423043007667,13,23716,True,10.85,0.1,False,,1.0
10000000000.0,CKT_0093,f64,0.9985434057307446,1.0,0.17962556923595885,0.8203744307640412,0.9999861251322156,4.343805421853685,2.8126423043007667,13,23716,False,0.0,0.1,True,,0.914066453027492
10000000000.0,CKT_0093,f64,1.3954627681385046e-17,1.0,0.17962556923595885,0.8203744307640412,2.0190589980337532e-16,4.343805421853685,2.8126423043007667,13,23716,True,10.85,0.5,False,,1.0
10000000000.0,CKT_0093,f64,0.9985434057307446,1.0,0.17962556923595885,0.8203744307640412,0.9999861251322156,4.343805421853685,2.8126423043007667,13,23716,False,0.0,0.5,True,,0.914066453027492
10000000000.0,CKT_0093,f64,1.3954627681385046e-17,1.0,0.17962556923595885,0.8203744307640412,2.0190589980337532e-16,4.343805421853685,2.8126423043007667,13,23716,True,10.85,0.9,False,,1.0
10000000000.0,CKT_0093,f64,1.0,1.0,0.012987012987012988,0.987012987012987,1.0,4.343805421853685,3.3839602723618603,13,23716,False,0.0,0.9,True,,0.8982121774329567
100000000.0,CKT_0093,f64,1.3954627681385046e-17,1.0,0.17321639399561478,0.8267836060043853,2.0190589980337532e-16,4.343805421853685,2.834616072303117,13,23716,True,10.85,0.0,False,,1.0
100000000.0,CKT_0093,f32,1.6295815478438493e-08,1.0,0.17321639399561478,0.8267836060043853,5.786028495680405e-08,4.3438054187395245,2.834616092103132,13,23716,True,10.85,0.0,False,,1.0
100000000.0,CKT_0093,bf16,0.20901248455911095,1.0,0.1637291280148423,0.8362708719851577,0.6900759375997708,4.34727440840399,2.8472070350620218,13,23716,False,1.05,0.0,False,,0.9897115871141845
100000000.0,CKT_0093,f16,inf,0.0126496879743633,0.003162421993590825,0.009487265980772474,inf,1.3862943611198906,0.010050271099502685,13,23716,False,0.0,0.0,False,,0.7212008770450329
100000000.0,CKT_0093,f64,1.0,1.0,0.012987012987012988,0.987012987012987,1.0,4.343805421853685,3.3839602723618603,13,23716,False,0.0,0.0,False,per_tensor_int8,0.9046213526733007
100000000.0,CKT_0093,f64,1.0,1.0,0.17321639399561478,0.8267836060043853,1.0,4.343805421853685,2.834616072303117,13,23716,False,0.0,0.0,False,per_channel_int8,0.9223309158374093
100000000.0,CKT_0093,f64,1.3954627681385046e-17,1.0,0.17321639399561478,0.8267836060043853,2.0190589980337532e-16,4.343805421853685,2.834616072303117,13,23716,True,10.85,0.1,False,,1.0
100000000.0,CKT_0093,f64,1.0,1.0,0.17321639399561478,0.8267836060043853,1.0,4.343805421853685,2.834616072303117,13,23716,False,0.0,0.1,True,,0.914066453027492
100000000.0,CKT_0093,f64,1.3954627681385046e-17,1.0,0.17321639399561478,0.8267836060043853,2.0190589980337532e-16,4.343805421853685,2.834616072303117,13,23716,True,10.85,0.5,False,,1.0
100000000.0,CKT_0093,f64,1.0,1.0,0.17321639399561478,0.8267836060043853,1.0,4.343805421853685,2.834616072303117,13,23716,False,0.0,0.5,True,,0.914066453027492
100000000.0,CKT_0093,f64,1.3954627681385046e-17,1.0,0.17321639399561478,0.8267836060043853,2.0190589980337532e-16,4.343805421853685,2.834616072303117,13,23716,True,10.85,0.9,False,,1.0
100000000.0,CKT_0093,f64,1.0,1.0,0.012987012987012988,0.987012987012987,1.0,4.343805421853685,3.3839602723618603,13,23716,False,0.0,0.9,True,,0.9046213526733007
1000000.0,CKT_0093,f64,2.0466900829082193e-17,1.0,0.17321639399561478,0.8267836060043853,2.0190589980337532e-16,4.343805421853685,2.8346160723031164,13,23716,True,10.85,0.0,False,,1.0
