circuit_id,complexity,N,n_free,n_fixed,target_node,pred_V,truth_V,abs_error,pass_fail,lu_build_s,lu_infer_s,readout_build_s,infer_s,n_tokens,tx1_cache,tx2_cache,build_status,error
CKT_0019,Basic,4,2,2,3,1.7000,1.7068,0.0068,PASS,0.000,1.854,0.339,0.010,12,hull,hull,built,
CKT_0020,Basic,4,2,2,3,0.3000,0.3189,0.0189,PASS,0.000,1.785,0.354,0.008,12,hull,hull,built,
CKT_0021,Basic,4,2,2,3,1.6500,1.6444,0.0056,PASS,0.000,1.892,0.317,0.008,12,hull,hull,built,
CKT_0022,Basic,4,2,2,3,0.1000,0.0973,0.0027,PASS,0.000,1.876,0.412,0.011,12,hull,hull,built,
CKT_0023,Intermediate,4,2,2,3,9.0000,8.9947,0.0053,PASS,0.000,1.917,0.368,0.011,12,hull,hull,built,
CKT_0024,Intermediate,4,2,2,3,0.0500,0.0577,0.0077,PASS,0.000,1.978,0.385,0.011,12,hull,hull,built,
CKT_0025,Intermediate,4,2,2,3,0.0500,0.0484,0.0016,PASS,0.000,1.897,0.304,0.008,12,hull,hull,built,
CKT_0026,Intermediate,4,1,3,3,11.4500,11.4624,0.0124,PASS,0.000,1.868,0.400,0.010,12,hull,hull,built,
CKT_0027,Intermediate,4,1,3,3,7.0000,7.0,0.0000,PASS,0.000,1.790,0.320,0.008,12,hull,hull,built,
CKT_0028,Intermediate,4,1,3,3,14.2000,14.1795,0.0205,PASS,0.000,1.825,0.299,0.010,12,hull,hull,built,
CKT_0029,Intermediate,5,3,2,4,0.1500,0.1592,0.0092,PASS,0.000,1.837,0.371,0.010,14,hull,hull,built,
CKT_0030,Intermediate,5,3,2,4,5.2000,5.1848,0.0152,PASS,0.000,1.857,0.342,0.011,14,hull,hull,built,
CKT_0031,Intermediate,5,3,2,4,3.1500,3.1534,0.0034,PASS,0.000,1.877,0.302,0.009,14,hull,hull,built,
CKT_0032,Intermediate,5,3,2,4,2.5500,2.5535,0.0035,PASS,0.000,1.908,0.343,0.011,14,hull,hull,built,
CKT_0033,Intermediate,5,3,2,4,18.8500,18.8788,0.0288,PASS,0.000,1.879,0.407,0.011,14,hull,hull,built,
CKT_0034,Intermediate,5,3,2,4,4.6500,4.6738,0.0238,PASS,0.000,1.859,0.323,0.009,14,hull,hull,built,
CKT_0035,Intermediate,5,3,2,4,1.7500,1.757,0.0070,PASS,0.000,1.813,0.362,0.009,14,hull,hull,built,
CKT_0036,Intermediate,5,3,2,4,0.0000,0.0082,0.0082,PASS,0.000,1.842,0.363,0.011,14,hull,hull,built,
CKT_0037,Intermediate,5,3,2,4,2.6500,2.6664,0.0164,PASS,0.000,1.780,0.395,0.009,14,hull,hull,built,
CKT_0038,Intermediate,5,2,3,3,2.8000,2.7845,0.0155,PASS,0.000,1.930,0.357,0.009,14,hull,hull,built,
CKT_0039,Intermediate,5,2,3,3,18.1500,18.2062,0.0562,PASS,0.000,1.757,0.359,0.009,14,hull,hull,built,
CKT_0040,Intermediate,5,2,3,3,3.2500,3.2548,0.0048,PASS,0.000,1.733,0.423,0.009,14,hull,hull,built,
CKT_0041,Intermediate,5,2,3,3,4.6500,4.6532,0.0032,PASS,0.000,1.926,0.318,0.009,14,hull,hull,built,
CKT_0042,Intermediate,6,4,2,4,0.0500,0.0603,0.0103,PASS,0.000,1.866,0.310,0.010,16,hull,hull,built,
CKT_0043,Intermediate,6,4,2,4,7.7000,7.6841,0.0159,PASS,0.000,1.829,0.354,0.012,16,hull,hull,built,
CKT_0044,Intermediate,6,4,2,4,0.1000,0.0798,0.0202,PASS,0.000,1.891,0.422,0.011,16,hull,hull,built,
CKT_0045,Intermediate,6,4,2,4,3.0000,3.0,0.0000,PASS,0.000,1.978,0.364,0.012,16,hull,hull,built,
CKT_0046,Intermediate,6,4,2,5,0.0500,0.0352,0.0148,PASS,0.000,1.930,0.352,0.012,16,hull,hull,built,
CKT_0047,Intermediate,6,4,2,5,3.2500,3.2289,0.0211,PASS,0.000,1.875,0.343,0.012,16,hull,hull,built,
CKT_0048,Intermediate,6,4,2,5,1.5000,1.5197,0.0197,PASS,0.000,1.870,0.419,0.012,16,hull,hull,built,
CKT_0049,Intermediate,6,4,2,5,0.9500,0.9619,0.0119,PASS,0.000,1.799,0.368,0.012,16,hull,hull,built,
CKT_0050,Intermediate,5,2,3,3,1.8000,1.782,0.0180,PASS,0.000,1.779,0.367,0.011,14,hull,hull,built,
CKT_0051,Intermediate,5,2,3,3,2.0000,2.0162,0.0162,PASS,0.000,1.847,0.432,0.009,14,hull,hull,built,
CKT_0052,Intermediate,5,2,3,3,1.4000,1.4137,0.0137,PASS,0.000,1.746,0.403,0.014,14,hull,hull,built,
CKT_0053,Intermediate,5,2,3,3,1.3000,1.2977,0.0023,PASS,0.000,1.837,0.355,0.012,14,hull,hull,built,
CKT_0054,Intermediate,5,2,3,3,2.2000,2.1968,0.0032,PASS,0.000,1.815,0.340,0.009,14,hull,hull,built,
CKT_0055,Hard,12,7,5,4,0.2000,0.2155,0.0155,PASS,0.000,1.816,0.416,0.014,28,hull,hull,built,
CKT_0056,Hard,12,8,4,4,12.0000,12.0,0.0000,PASS,0.000,1.909,0.322,0.014,28,hull,hull,built,
CKT_0057,Hard,12,7,5,4,7.5500,7.567,0.0170,PASS,0.000,1.853,0.340,0.018,28,hull,hull,built,
CKT_0058,Hard,12,8,4,4,3.3000,3.3,0.0000,PASS,0.000,1.969,0.349,0.018,28,hull,hull,built,
CKT_0059,Hard,12,7,5,4,0.0500,0.066,0.0160,PASS,0.000,1.857,0.379,0.015,28,hull,hull,built,
CKT_0060,Hard,13,8,5,12,17.1000,17.1311,0.0311,PASS,0.000,1.869,0.326,0.015,30,hull,hull,built,
CKT_0061,Hard,13,10,3,12,11.4000,11.4013,0.0013,PASS,0.000,1.904,0.324,0.015,30,hull,hull,built,
CKT_0062,Hard,16,11,5,15,5.0000,5.0088,0.0088,PASS,0.000,2.039,0.396,0.021,36,hull,hull,built,
CKT_0063,Hard,16,12,4,15,0.2500,0.2298,0.0202,PASS,0.000,2.095,0.323,0.017,36,hull,hull,built,
CKT_0064,Hard,17,14,3,16,9.0000,8.9905,0.0095,PASS,0.000,2.189,0.344,0.022,38,hull,hull,built,
CKT_0065,Hard,11,6,5,6,10.2000,10.1916,0.0084,PASS,0.000,1.952,0.342,0.017,26,hull,hull,built,
CKT_0066,Hard,13,8,5,6,12.4000,12.4153,0.0153,PASS,0.000,1.991,0.403,0.019,30,hull,hull,built,
CKT_0067,Hard,11,6,5,6,21.2000,21.2617,0.0617,PASS,0.000,1.882,0.364,0.017,26,hull,hull,built,
CKT_0068,Hard,13,8,5,6,23.9500,24.0,0.0500,PASS,0.000,1.915,0.345,0.019,30,hull,hull,built,
CKT_0069,Hard,11,7,4,6,6.7000,6.7311,0.0311,PASS,0.000,1.836,0.309,0.014,26,hull,hull,built,
CKT_0070,Hard,7,4,3,4,0.0000,0.0221,0.0221,PASS,0.000,1.971,0.398,0.011,18,hull,hull,built,
CKT_0071,Hard,8,5,3,5,9.0000,9.0,0.0000,PASS,0.000,1.930,0.339,0.014,20,hull,hull,built,
CKT_0072,Hard,7,2,5,4,1.8000,1.8,0.0000,PASS,0.000,1.899,0.310,0.011,18,hull,hull,built,
CKT_0073,Hard,8,5,3,5,1.8000,1.8238,0.0238,PASS,0.000,1.941,0.370,0.011,20,hull,hull,built,
CKT_0074,Hard,7,3,4,4,3.3000,3.3,0.0000,PASS,0.000,1.879,0.328,0.011,18,hull,hull,built,
CKT_0075,Hard,10,7,3,5,7.1000,7.1181,0.0181,PASS,0.000,1.936,0.345,0.013,24,hull,hull,built,
CKT_0076,Hard,10,7,3,5,0.9000,0.906,0.0060,PASS,0.000,1.951,0.350,0.017,24,hull,hull,built,
CKT_0077,Hard,10,7,3,5,9.0000,9.0,0.0000,PASS,0.000,1.869,0.362,0.013,24,hull,hull,built,
CKT_0078,Hard,10,5,5,5,7.1000,7.084,0.0160,PASS,0.000,1.900,0.344,0.014,24,hull,hull,built,
CKT_0079,Hard,10,5,5,5,3.3000,3.3,0.0000,PASS,0.000,1.883,0.366,0.016,24,hull,hull,built,
CKT_0080,Hard,17,12,5,6,4.9500,4.9311,0.0189,PASS,0.000,2.092,0.315,0.020,38,hull,hull,built,
CKT_0081,Hard,17,11,6,6,4.7000,4.7176,0.0176,PASS,0.000,2.059,0.399,0.022,38,hull,hull,built,
CKT_0082,Hard,17,12,5,6,2.4000,2.3987,0.0013,PASS,0.000,2.103,0.343,0.022,38,hull,hull,built,
CKT_0083,Hard,17,12,5,6,15.0000,14.9996,0.0004,PASS,0.000,2.113,0.344,0.023,38,hull,hull,built,
CKT_0084,Hard,21,17,4,20,14.2500,14.2707,0.0207,PASS,0.000,2.391,0.367,0.021,46,hull,hull,built,
CKT_0085,Hard,21,16,5,20,2.7500,2.7688,0.0188,PASS,0.000,2.385,0.346,0.025,46,hull,hull,built,
CKT_0086,Hard,25,19,6,24,4.6500,4.6575,0.0075,PASS,0.000,2.575,0.305,0.027,54,hull,hull,built,
CKT_0087,Hard,25,20,5,24,20.0500,20.0725,0.0225,PASS,0.000,2.731,0.344,0.027,54,hull,hull,built,
CKT_0088,Hard,26,21,5,25,4.9500,4.9738,0.0238,PASS,0.000,2.900,0.399,0.029,56,hull,hull,built,
CKT_0089,Hard,17,11,6,8,3.5000,3.4927,0.0073,PASS,0.000,2.127,0.340,0.018,38,hull,hull,built,
CKT_0090,Hard,19,13,6,10,4.9500,4.9572,0.0072,PASS,0.000,2.212,0.343,0.022,42,hull,hull,built,
CKT_0091,Hard,17,12,5,8,13.4000,13.3976,0.0024,PASS,0.000,2.103,0.303,0.018,38,hull,hull,built,
CKT_0092,Hard,19,13,6,10,15.0500,15.0485,0.0015,PASS,0.000,2.192,0.374,0.020,42,hull,hull,built,
CKT_0093,Hard,17,13,4,8,10.8500,10.8352,0.0148,PASS,0.000,2.145,0.306,0.020,38,hull,hull,built,
CKT_0094,Hard,10,6,4,6,4.1500,4.1475,0.0025,PASS,0.000,1.947,0.387,0.016,24,hull,hull,built,
CKT_0095,Hard,11,5,6,6,1.8000,1.8,0.0000,PASS,0.000,1.914,0.408,0.014,26,hull,hull,built,
CKT_0096,Hard,10,5,5,6,11.3000,11.3191,0.0191,PASS,0.000,1.852,0.338,0.016,24,hull,hull,built,
CKT_0097,Hard,11,7,4,6,4.3000,4.2758,0.0242,PASS,0.000,1.805,0.362,0.017,26,hull,hull,built,
CKT_0098,Hard,10,4,6,6,9.2000,9.202,0.0020,PASS,0.000,1.848,0.351,0.016,24,hull,hull,built,
CKT_0099,Hard,14,10,4,7,1.8500,1.8308,0.0192,PASS,0.000,1.980,0.406,0.020,32,hull,hull,built,
CKT_0100,Hard,14,8,6,7,5.0000,5.0,0.0000,PASS,0.000,1.940,0.358,0.017,32,hull,hull,built,
CKT_0101,Hard,14,9,5,7,2.6500,2.6478,0.0022,PASS,0.000,1.992,0.312,0.016,32,hull,hull,built,
CKT_0102,Hard,14,8,6,7,10.8500,10.8656,0.0156,PASS,0.000,1.881,0.341,0.020,32,hull,hull,built,
CKT_0103,Hard,14,8,6,7,8.6500,8.6457,0.0043,PASS,0.000,1.906,0.359,0.017,32,hull,hull,built,
CKT_0104,Hard,22,18,4,7,15.0000,15.0,0.0000,PASS,0.000,2.406,0.335,0.022,48,hull,hull,built,
CKT_0105,Hard,22,16,6,7,0.0500,0.0601,0.0101,PASS,0.000,2.220,0.335,0.022,48,hull,hull,built,
CKT_0106,Hard,22,17,5,7,11.8000,11.7927,0.0073,PASS,0.000,2.483,0.398,0.023,48,hull,hull,built,
CKT_0107,Hard,31,27,4,30,2.2500,2.2513,0.0013,PASS,0.000,3.811,0.335,0.028,66,hull,hull,built,
CKT_0108,Hard,31,27,4,30,3.8500,3.8495,0.0005,PASS,0.000,3.798,0.341,0.032,66,hull,hull,built,
CKT_0109,Hard,36,30,6,35,4.1500,4.1397,0.0103,PASS,0.000,5.122,0.340,0.032,76,hull,hull,built,
CKT_0110,Hard,36,31,5,35,5.3000,5.2916,0.0084,PASS,0.000,5.440,0.418,0.032,76,hull,hull,built,
CKT_0111,Hard,37,33,4,36,5.7000,5.7196,0.0196,PASS,0.000,6.482,0.368,0.036,78,hull,hull,built,
CKT_0112,Hard,23,19,4,12,12.0000,11.9984,0.0016,PASS,0.000,2.592,0.362,0.027,50,hull,hull,built,
CKT_0113,Hard,25,21,4,12,9.0000,8.995,0.0050,PASS,0.000,2.863,0.379,0.029,54,hull,hull,built,
CKT_0114,Hard,23,17,6,12,5.0000,4.9991,0.0009,PASS,0.000,2.458,0.398,0.027,50,hull,hull,built,
CKT_0115,Hard,25,21,4,12,23.6000,23.6344,0.0344,PASS,0.000,2.909,0.348,0.028,54,hull,hull,built,
CKT_0116,Hard,23,19,4,12,8.8500,8.8276,0.0224,PASS,0.000,2.574,0.340,0.027,50,hull,hull,built,
CKT_0117,Hard,13,7,6,7,0.0500,0.0487,0.0013,PASS,0.000,1.848,0.401,0.015,30,hull,hull,built,
CKT_0118,Hard,14,8,6,8,3.3000,3.3037,0.0037,PASS,0.000,1.954,0.346,0.020,32,hull,hull,built,
CKT_0119,Hard,13,9,4,7,0.0000,0.0237,0.0237,PASS,0.000,1.951,0.338,0.019,30,hull,hull,built,
CKT_0120,Hard,14,9,5,8,3.4500,3.4379,0.0121,PASS,0.000,1.932,0.338,0.020,32,hull,hull,built,
CKT_0121,Hard,13,8,5,7,1.2000,1.188,0.0120,PASS,0.000,1.978,0.414,0.019,30,hull,hull,built,
CKT_0122,Hard,18,14,4,9,6.1000,6.1243,0.0243,PASS,0.000,2.076,0.353,0.023,40,hull,hull,built,
CKT_0123,Hard,18,13,5,9,0.5000,0.497,0.0030,PASS,0.000,2.057,0.365,0.023,40,hull,hull,built,
CKT_0124,Hard,18,12,6,9,7.4000,7.4091,0.0091,PASS,0.000,2.022,0.365,0.023,40,hull,hull,built,
CKT_0125,Hard,18,13,5,9,9.3000,9.3061,0.0061,PASS,0.000,2.126,0.378,0.019,40,hull,hull,built,
CKT_0126,Hard,18,13,5,9,12.6500,12.6372,0.0128,PASS,0.000,2.092,0.307,0.023,40,hull,hull,built,
CKT_0127,Hard,27,21,6,9,21.0000,21.0205,0.0205,PASS,0.000,2.866,0.346,0.029,58,hull,hull,built,
CKT_0128,Hard,27,21,6,9,0.0500,0.026,0.0240,PASS,0.000,2.886,0.422,0.029,58,hull,hull,built,
CKT_0129,Hard,43,37,6,42,8.8000,8.8102,0.0102,PASS,0.000,11.125,0.302,0.041,90,hull,hull,built,
CKT_0130,Hard,43,38,5,42,23.5500,23.6201,0.0701,PASS,0.000,11.866,0.300,0.041,90,hull,hull,built,
CKT_0131,Hard,49,43,6,48,14.1000,14.0817,0.0183,PASS,0.000,18.306,0.367,0.046,102,hull,hull,built,
CKT_0132,Hard,49,44,5,48,8.0000,7.9791,0.0209,PASS,0.000,20.801,0.403,0.045,102,hull,hull,built,
CKT_0133,Hard,50,44,6,49,7.0000,6.976,0.0240,PASS,0.000,19.852,0.343,0.046,104,hull,hull,built,
CKT_0134,Hard,29,24,5,14,12.0000,11.995,0.0050,PASS,0.000,3.319,0.323,0.029,62,hull,hull,built,
CKT_0135,Hard,31,25,6,16,14.9500,14.9694,0.0194,PASS,0.000,3.702,0.303,0.030,66,hull,hull,built,
CKT_0136,Hard,29,24,5,14,11.3000,11.3129,0.0129,PASS,0.000,3.326,0.397,0.031,62,hull,hull,built,
CKT_0137,Hard,31,25,6,16,1.8500,1.8463,0.0037,PASS,0.000,3.719,0.358,0.032,66,hull,hull,built,
CKT_0138,Hard,29,23,6,14,11.7000,11.7056,0.0056,PASS,0.000,3.289,0.346,0.031,62,hull,hull,built,
CKT_0139,Hard,15,10,5,8,3.3000,3.3,0.0000,PASS,0.000,2.054,0.402,0.020,34,hull,hull,built,
CKT_0140,Hard,16,10,6,9,15.0000,14.9813,0.0187,PASS,0.000,2.048,0.312,0.019,36,hull,hull,built,
CKT_0141,Hard,15,9,6,8,4.0500,4.0347,0.0153,PASS,0.000,1.956,0.341,0.021,34,hull,hull,built,
CKT_0142,Hard,16,10,6,9,1.9000,1.9138,0.0138,PASS,0.000,1.923,0.302,0.017,36,hull,hull,built,
CKT_0143,Hard,15,9,6,8,1.8500,1.83,0.0200,PASS,0.000,1.927,0.362,0.016,34,hull,hull,built,
CKT_0144,Hard,22,17,5,11,9.3000,9.281,0.0190,PASS,0.000,2.411,0.327,0.024,48,hull,hull,built,
CKT_0145,Hard,22,16,6,11,7.7000,7.6912,0.0088,PASS,0.000,2.362,0.300,0.023,48,hull,hull,built,
CKT_0146,Hard,22,17,5,11,6.7500,6.7647,0.0147,PASS,0.000,2.468,0.301,0.022,48,hull,hull,built,
CKT_0147,Hard,22,17,5,11,5.2500,5.227,0.0230,PASS,0.000,2.346,0.358,0.024,48,hull,hull,built,
CKT_0148,Hard,22,17,5,11,8.9500,8.9632,0.0132,PASS,0.000,2.336,0.302,0.022,48,hull,hull,built,
CKT_0149,Hard,10,6,4,5,2.0000,1.9826,0.0174,PASS,0.000,1.851,0.370,0.016,24,hull,hull,built,
CKT_0150,Hard,10,5,5,5,9.0000,8.9991,0.0009,PASS,0.000,1.892,0.404,0.016,24,hull,hull,built,
CKT_0151,Hard,14,9,5,7,15.0000,15.0,0.0000,PASS,0.000,1.950,0.341,0.020,32,hull,hull,built,
CKT_0152,Hard,14,8,6,7,3.6000,3.5907,0.0093,PASS,0.000,1.956,0.338,0.015,32,hull,hull,built,
CKT_0153,Hard,18,13,5,9,3.4500,3.4371,0.0129,PASS,0.000,2.226,0.313,0.021,40,hull,hull,built,
CKT_0154,Hard,22,16,6,11,13.3000,13.3355,0.0355,PASS,0.000,2.353,0.407,0.025,48,hull,hull,built,
