circuit_id,complexity,N,T_used,V_STEP_V,pred_V_dsl,truth_V,abs_error,pass_fail,jacobi_ref_V,rho_M,kappa_A,seq_length,dsl_time_ms,error
CKT_0062,Hard,16,1000,0.01,3.2500,5.0088,1.7588,FAIL,3.8280,0.998220,2.5183e+03,32036,27762.3,
CKT_0063,Hard,16,1000,0.01,0.0000,0.2298,0.2298,FAIL,0.0686,0.999829,1.1756e+04,32036,27218.9,
CKT_0064,Hard,17,1000,0.01,6.3200,8.9905,2.6705,FAIL,5.8617,0.999912,1.0967e+05,34038,28906.9,
CKT_0065,Hard,11,1000,0.01,10.1700,10.1916,0.0216,PASS,10.1860,0.943437,7.9021e+01,22026,18364.9,
CKT_0066,Hard,13,1000,0.01,12.4100,12.4153,0.0053,PASS,12.4165,0.985660,2.8104e+02,26030,22796.8,
CKT_0067,Hard,11,1000,0.01,21.2400,21.2617,0.0217,PASS,21.2575,0.854236,6.0384e+01,22026,18995.7,
CKT_0068,Hard,13,1000,0.01,23.9900,24.0,0.0100,PASS,23.9999,0.863106,6.2171e+03,26030,21979.8,
CKT_0069,Hard,11,1000,0.01,6.7100,6.7311,0.0211,PASS,6.7340,0.905907,3.0431e+02,22026,18347.6,
CKT_0070,Hard,7,1000,0.01,0.0100,0.0221,0.0121,PASS,0.0219,0.687908,3.2977e+02,14018,12087.5,
CKT_0071,Hard,8,1000,0.01,9.0000,9.0,0.0000,PASS,9.0000,0.676843,3.2825e+03,16020,13470.1,
CKT_0072,Hard,7,1000,0.01,1.8000,1.8,0.0000,PASS,1.8000,0.904789,2.0071e+01,14018,11624.9,
CKT_0073,Hard,8,1000,0.01,1.8200,1.8238,0.0038,PASS,1.8221,0.449080,6.0817e+01,16020,13431.0,
CKT_0074,Hard,7,1000,0.01,3.3000,3.3,0.0000,PASS,3.3000,0.000943,3.0871e+03,14018,11667.9,
CKT_0075,Hard,10,1000,0.01,4.2000,7.1181,2.9181,FAIL,3.2231,0.999378,1.6048e+04,20024,16978.1,
CKT_0076,Hard,10,1000,0.01,0.6200,0.906,0.2860,FAIL,0.9212,0.994225,4.3184e+02,20024,16661.9,
CKT_0077,Hard,10,1000,0.01,9.0000,9.0,0.0000,PASS,9.0000,0.992545,1.1127e+04,20024,16746.2,
CKT_0078,Hard,10,1000,0.01,7.0800,7.084,0.0040,PASS,7.0838,0.741072,1.0686e+02,20024,16630.8,
CKT_0079,Hard,10,1000,0.01,3.3000,3.3,0.0000,PASS,3.3000,0.221776,1.4695e+01,20024,16992.0,
CKT_0080,Hard,17,1000,0.01,4.9300,4.9311,0.0011,PASS,4.9314,0.997784,8.8043e+03,34038,29086.6,
CKT_0081,Hard,17,1000,0.01,4.7000,4.7176,0.0176,PASS,4.7122,0.999987,1.5668e+05,34038,28331.3,
CKT_0082,Hard,17,1000,0.01,2.4000,2.3987,0.0013,PASS,2.3982,0.933507,1.3772e+05,34038,28133.9,
CKT_0083,Hard,17,1000,0.01,15.0000,14.9996,0.0004,PASS,15.0000,0.595201,2.3936e+03,34038,28456.0,
CKT_0084,Hard,21,1050,0.01,13.4300,14.2707,0.8407,FAIL,13.1582,0.997524,1.5160e+04,44146,37298.3,
CKT_0085,Hard,21,1050,0.01,0.0000,2.7688,2.7688,FAIL,1.3920,0.999324,6.6020e+03,44146,36971.3,
CKT_0086,Hard,25,1250,0.01,0.0000,4.6575,4.6575,FAIL,1.1988,0.999662,3.4827e+04,62554,54106.6,
CKT_0087,Hard,25,1250,0.01,1.7500,20.0725,18.3225,FAIL,3.7002,0.999814,5.7790e+04,62554,53525.2,
CKT_0088,Hard,26,1300,0.01,4.3900,4.9738,0.5838,FAIL,4.8591,0.999194,1.6964e+04,67656,57989.8,
CKT_0089,Hard,17,1000,0.01,3.4900,3.4927,0.0027,PASS,3.4946,0.987762,5.6882e+03,34038,29089.4,
CKT_0090,Hard,19,1000,0.01,4.7600,4.9572,0.1972,FAIL,4.8577,0.997375,6.5033e+03,38042,32252.6,
CKT_0091,Hard,17,1000,0.01,13.2900,13.3976,0.1076,FAIL,13.4163,0.977300,4.3895e+03,34038,29161.0,
CKT_0092,Hard,19,1000,0.01,15.0300,15.0485,0.0185,PASS,15.0483,0.891662,2.7374e+03,38042,35070.4,
CKT_0093,Hard,17,1000,0.01,0.0000,10.8352,10.8352,FAIL,0.5678,0.999937,9.0321e+04,34038,28732.9,
CKT_0094,Hard,10,1000,0.01,4.1500,4.1475,0.0025,PASS,4.1495,0.791247,8.8681e+00,20024,17281.8,
CKT_0095,Hard,11,1000,0.01,1.8000,1.8,0.0000,PASS,1.8000,0.907965,2.4744e+01,22026,19206.5,
CKT_0096,Hard,10,1000,0.01,11.2100,11.3191,0.1091,FAIL,11.2867,0.984289,1.9207e+02,20024,16317.5,
CKT_0097,Hard,11,1000,0.01,4.2800,4.2758,0.0042,PASS,4.2771,0.734518,3.8423e+02,22026,17881.7,
CKT_0098,Hard,10,1000,0.01,9.1900,9.202,0.0120,PASS,9.2020,0.829958,1.1330e+04,20024,16467.0,
CKT_0099,Hard,14,1000,0.01,1.7900,1.8308,0.0408,PASS,1.8290,0.912959,6.4809e+02,28032,22923.4,
CKT_0100,Hard,14,1000,0.01,5.0000,5.0,0.0000,PASS,5.0000,0.972341,9.2536e+01,28032,23038.7,
CKT_0101,Hard,14,1000,0.01,2.5000,2.6478,0.1478,FAIL,2.6446,0.981348,1.1632e+02,28032,22941.7,
CKT_0102,Hard,14,1000,0.01,10.8600,10.8656,0.0056,PASS,10.8638,0.404950,3.1075e+02,28032,22743.2,
CKT_0103,Hard,14,1000,0.01,8.6400,8.6457,0.0057,PASS,8.6453,0.921822,1.2432e+04,28032,22860.8,
CKT_0104,Hard,22,1100,0.01,15.0000,15.0,0.0000,PASS,15.0000,0.856898,3.0255e+03,48448,39708.7,
