circuit_id,complexity,N,n_free,n_fixed,target_node,pred_V_dsl,ref_V_lu,ref_V_direct,truth_V,abs_error,pass_fail,seq_length,build_time_s,run_time_s,n_layers,d_model,build_status,run_status,error
CKT_0043,Intermediate,6,4,2,4,7.7000,7.7000,7.7000,7.6841,0.0159,PASS,28,0.79,0.05,4,56,built,PASS,
CKT_0044,Intermediate,6,4,2,4,0.1000,0.1000,0.1000,0.0798,0.0202,PASS,28,0.89,0.03,4,56,built,PASS,
CKT_0045,Intermediate,6,4,2,4,3.0000,3.0000,3.0000,3.0,0.0000,PASS,28,0.82,0.12,4,56,built,PASS,
CKT_0046,Intermediate,6,4,2,5,0.0500,0.0500,0.0500,0.0352,0.0148,PASS,28,0.81,0.05,4,56,built,PASS,
CKT_0047,Intermediate,6,4,2,5,3.2500,3.2500,3.2500,3.2289,0.0211,PASS,28,0.87,0.04,4,56,built,PASS,
CKT_0048,Intermediate,6,4,2,5,1.5000,1.5000,1.5000,1.5197,0.0197,PASS,28,0.73,0.10,4,56,built,PASS,
CKT_0049,Intermediate,6,4,2,5,0.9500,0.9500,0.9500,0.9619,0.0119,PASS,28,0.86,0.09,4,56,built,PASS,
CKT_0050,Intermediate,5,2,3,3,1.8000,1.8000,1.8000,1.782,0.0180,PASS,20,0.64,0.02,4,42,built,PASS,
CKT_0051,Intermediate,5,2,3,3,2.0000,2.0000,2.0000,2.0162,0.0162,PASS,20,0.57,0.02,4,42,built,PASS,
CKT_0052,Intermediate,5,2,3,3,1.4000,1.4000,1.4000,1.4137,0.0137,PASS,20,0.58,0.08,4,42,built,PASS,
CKT_0053,Intermediate,5,2,3,3,1.3000,1.3000,1.3000,1.2977,0.0023,PASS,20,0.48,0.11,4,42,built,PASS,
CKT_0054,Intermediate,5,2,3,3,2.2000,2.2000,2.2000,2.1968,0.0032,PASS,20,0.55,0.02,4,42,built,PASS,
CKT_0055,Hard,12,7,5,4,0.2000,0.2000,0.2000,0.2155,0.0155,PASS,49,4.79,0.10,4,100,built,PASS,
CKT_0056,Hard,12,8,4,4,12.0000,12.0000,12.0000,12.0,0.0000,PASS,52,5.50,0.19,4,106,built,PASS,
