circuit_id,complexity,N,n_free,failure_mode,rho_M,norm_M_inf,det_IminusM,log_det_abs,mink_log,minkowski_holds,r_stall,r_stall_exceeds_tol,error
CKT_0068,Hard,13,8,C_boundary,0.863105870777878,0.9999931717588046,0.21184732486320673,-1.551889429493631,-5.545177444479562,False,3661.2649267579845,True,
CKT_0069,Hard,11,7,B_compound,0.9059066848074052,0.9932459276916964,0.17374518245392853,-1.7501655218054972,-4.852030263919617,False,3.7014705882352565,True,
CKT_0070,Hard,7,4,PASS,0.687908018417756,0.9780879634273921,0.5268012250269086,-0.6409319837039673,-2.772588722239781,False,1.1409254414650063,True,
CKT_0071,Hard,8,5,PASS,0.6768429811109161,0.9924182107759191,0.32196673300748935,-1.133307052416288,-3.4657359027997265,False,3.2973747041920087,True,
CKT_0072,Hard,7,2,PASS,0.9047892963486062,0.9552806907117323,0.18135632921299416,-1.707291513321876,-1.3862943611198906,True,0.5590426238215366,True,
CKT_0073,Hard,8,5,PASS,0.4490798633192783,0.8942415033862419,0.7983275279870923,-0.2252363296641233,-3.4657359027997265,False,0.23638762653087628,True,
CKT_0074,Hard,7,3,PASS,0.0009426583997461112,0.0523756079311635,0.9999991113951414,-8.886052533938611e-07,-2.0794415416798357,False,0.026381760757994473,False,
CKT_0075,Hard,10,7,A_non_convergent,0.9993784089103209,0.9999571483670315,5.295533222967442e-05,-9.846061787877078,-4.852030263919617,True,583.4083386833191,True,
CKT_0076,Hard,10,7,B_compound,0.9942252208526302,1.0,0.004006525358903867,-5.519830907325554,-4.852030263919617,True,inf,True,
CKT_0077,Hard,10,7,PASS,0.9925448157892761,1.0,0.0012039385773457939,-6.722156948890369,-4.852030263919617,True,inf,True,
CKT_0078,Hard,10,5,PASS,0.7410719999858868,0.9881037717625747,0.44825870695330783,-0.8023847423613776,-3.4657359027997265,False,2.101506418761408,True,
CKT_0079,Hard,10,5,PASS,0.22177633214916964,0.8234089520170287,0.950815258492437,-0.050435495568033714,-3.4657359027997265,False,0.14157003022265746,True,
