circuit,transformer,layer,token,pos,l2_norm,abs_max,nz_count
CKT_0015,T2,1,skip,7,49.52752068522258,49.0,5
CKT_0015,T2,2,skip,7,49.51742425879148,49.0,4
CKT_0015,T2,3,skip,7,49.51742425879148,49.0,4
CKT_0015,T2,4,skip,7,49.51742425879148,49.0,4
CKT_0015,T2,0,v_0,8,64.52144505269052,64.0,5
CKT_0015,T2,1,v_0,8,64.51369522579964,64.0,4
CKT_0015,T2,2,v_0,8,64.51369522579964,64.0,4
CKT_0015,T2,3,v_0,8,64.51369522579964,64.0,4
CKT_0015,T2,4,v_0,8,64.51369522579964,64.0,4
CKT_0015,T2,0,readout,9,7982.796693639634,7619.0,11
CKT_0015,T2,1,readout,9,7982.796756274324,7619.0,12
CKT_0015,T2,2,readout,9,120265.22758907492,120000.0,8
CKT_0015,T2,3,readout,9,28572.116285847358,28572.0,6
CKT_0015,T2,4,readout,9,28572.116285847358,28572.0,6
CKT_0015,T2,0,halt,10,100.50911477163845,100.0,4
CKT_0015,T2,1,halt,10,100.51408932173833,100.0,5
CKT_0015,T2,2,halt,10,100.50911477163845,100.0,4
CKT_0015,T2,3,halt,10,100.50911477163845,100.0,4
CKT_0015,T2,4,halt,10,100.50911477163845,100.0,4
CKT_0067,T2,0,start,0,0.0,0.0,0
CKT_0067,T2,1,start,0,0.0,0.0,0
CKT_0067,T2,2,start,0,0.0,0.0,0
CKT_0067,T2,3,start,0,0.0,0.0,0
CKT_0067,T2,4,start,0,0.0,0.0,0
CKT_0067,T2,0,skip,1,2.0696640292911175,1.0,5
CKT_0067,T2,1,skip,1,2.0696640292911175,1.0,5
CKT_0067,T2,2,skip,1,1.8120455827990487,1.0,4
CKT_0067,T2,3,skip,1,1.8120455827990487,1.0,4
CKT_0067,T2,4,skip,1,1.8120455827990487,1.0,4
CKT_0067,T2,0,v_0,2,4.745560266738945,4.0,5
CKT_0067,T2,1,v_0,2,4.639002289851925,4.0,4
CKT_0067,T2,2,v_0,2,4.639002289851925,4.0,4
CKT_0067,T2,3,v_0,2,4.639002289851925,4.0,4
CKT_0067,T2,4,v_0,2,4.639002289851925,4.0,4
CKT_0067,T2,0,skip,3,9.62676645734534,9.0,5
CKT_0067,T2,1,skip,3,9.62676645734534,9.0,5
CKT_0067,T2,2,skip,3,9.574687066649718,9.0,4
CKT_0067,T2,3,skip,3,9.574687066649718,9.0,4
CKT_0067,T2,4,skip,3,9.574687066649718,9.0,4
CKT_0067,T2,0,v_479,4,239500.00057365865,239500.0,6
CKT_0067,T2,1,v_479,4,239500.00057157094,239500.0,5
CKT_0067,T2,2,v_479,4,16.546373910500428,16.0,4
CKT_0067,T2,3,v_479,4,16.546373910500428,16.0,4
CKT_0067,T2,4,v_479,4,16.546373910500428,16.0,4
CKT_0067,T2,0,skip,5,25.551177337007,25.0,5
CKT_0067,T2,1,skip,5,25.551177337007,25.0,5
CKT_0067,T2,2,skip,5,25.53160126798122,25.0,4
CKT_0067,T2,3,skip,5,25.53160126798122,25.0,4
CKT_0067,T2,4,skip,5,25.53160126798122,25.0,4
CKT_0067,T2,0,v_479,6,239500.0027868999,239500.0,6
CKT_0067,T2,1,v_479,6,239500.0027848122,239500.0,5
CKT_0067,T2,2,v_479,6,36.52293872185598,36.0,4
CKT_0067,T2,3,v_479,6,36.52293872185598,36.0,4
CKT_0067,T2,4,v_479,6,36.52293872185598,36.0,4
CKT_0067,T2,0,skip,7,49.52752068522258,49.0,5
CKT_0067,T2,1,skip,7,49.52752068522258,49.0,5
CKT_0067,T2,2,skip,7,49.51742425879148,49.0,4
CKT_0067,T2,3,skip,7,49.51742425879148,49.0,4
CKT_0067,T2,4,skip,7,49.51742425879148,49.0,4
CKT_0067,T2,0,v_0,8,64.52144505269052,64.0,5
CKT_0067,T2,1,v_0,8,64.51369522579964,64.0,4
CKT_0067,T2,2,v_0,8,64.51369522579964,64.0,4
CKT_0067,T2,3,v_0,8,64.51369522579964,64.0,4
CKT_0067,T2,4,v_0,8,64.51369522579964,64.0,4
CKT_0067,T2,0,skip,9,81.51718827259995,81.0,5
CKT_0067,T2,1,skip,9,81.51718827259995,81.0,5
CKT_0067,T2,2,skip,9,81.5110543660828,81.0,4
CKT_0067,T2,3,skip,9,81.5110543660828,81.0,4
CKT_0067,T2,4,skip,9,81.5110543660828,81.0,4
CKT_0067,T2,0,v_0,10,100.51408932173833,100.0,5
CKT_0067,T2,1,v_0,10,100.50911477163845,100.0,4
CKT_0067,T2,2,v_0,10,100.50911477163845,100.0,4
CKT_0067,T2,3,v_0,10,100.50911477163845,100.0,4
CKT_0067,T2,4,v_0,10,100.50911477163845,100.0,4
CKT_0067,T2,0,skip,11,121.51176254974108,121.0,5
