circuit_id,complexity,N,n_free,n_fixed,target_node,pred_V_dsl,ref_V_lu,ref_V_direct,truth_V,abs_error,pass_fail,seq_length,build_time_s,run_time_s,n_layers,d_model,build_status,run_status,error
CKT_0143,Hard,15,9,6,8,1.8500,1.8500,1.8500,1.83,0.0200,PASS,61,15.99,3.40,4,144,built,PASS,
CKT_0144,Hard,22,17,5,11,9.3000,9.3000,9.3000,9.281,0.0190,PASS,99,21.82,7.43,4,222,built,PASS,
CKT_0145,Hard,22,16,6,11,7.7000,7.7000,7.7000,7.6912,0.0088,PASS,96,29.94,5.09,4,212,built,PASS,
CKT_0146,Hard,22,17,5,11,6.7500,6.7500,6.7500,6.7647,0.0147,PASS,99,31.48,8.81,4,222,built,PASS,
CKT_0147,Hard,22,17,5,11,5.2500,5.2500,5.2500,5.227,0.0230,PASS,99,28.89,7.11,4,222,built,PASS,
CKT_0148,Hard,22,17,5,11,8.9500,8.9500,8.9500,8.9632,0.0132,PASS,99,22.39,4.97,4,222,built,PASS,
CKT_0149,Hard,10,6,4,5,2.0000,2.0000,2.0000,1.9826,0.0174,PASS,42,12.34,3.01,4,116,built,PASS,
CKT_0150,Hard,10,5,5,5,9.0000,9.0000,9.0000,8.9991,0.0009,PASS,39,9.52,2.32,4,106,built,PASS,
CKT_0151,Hard,14,9,5,7,15.0000,15.0000,15.0000,15.0,0.0000,PASS,59,16.06,2.75,4,144,built,PASS,
CKT_0152,Hard,14,8,6,7,3.6000,3.6000,3.6000,3.5907,0.0093,PASS,56,14.65,4.10,4,136,built,PASS,
CKT_0153,Hard,18,13,5,9,3.4500,3.4500,3.4500,3.4371,0.0129,PASS,79,25.61,7.11,4,184,built,PASS,
CKT_0154,Hard,22,16,6,11,13.3000,13.3500,13.3500,13.3355,0.0355,PASS,96,26.60,8.03,4,212,built,PASS,
