circuit,transformer,layer,head,global_max_err,rel_fro_err,col_0_err,col_1_err,col_2_err,col_3_err,col_4_err,col_5_err
CKT_0067,T1,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,0,10.756783708628676,0.020499604528465033,10.756783708628676,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,1,320.1178514762056,0.5541995852883881,9.528552641109664,320.1178514762056,0.0,0.0,0.0,0.0
CKT_0067,T1,1,2,10.215457528490102,0.017982524823165046,0.25548737364801155,7.8718289102824475,10.215457528490102,0.0,0.0,0.0
CKT_0067,T1,1,3,22.350312174194226,0.043013356562833,0.04139117373302385,1.2753046593646271,1.6549928526276159,22.350312174194226,0.0,0.0
CKT_0067,T1,1,4,2.095678294379531,0.004015635006210664,0.0,0.0,0.0,0.0,2.095678294379531,0.0
CKT_0067,T1,1,5,320.11785147620566,0.554478464647315,8.00610926171492,246.6764656326024,320.11785147620566,10.215457528490102,0.19043751539177833,2.095678294379531
CKT_0067,T1,1,6,22.350312174194226,0.04303935471699053,0.04011387450004644,1.235949755497301,1.6039210682206484,21.66059902952621,2.0310073020746504,22.350312174194226
CKT_0067,T1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,12,1937.2983740245897,9.068522106708128,1937.2983740245895,1937.2983740245895,1937.2983740245897,1937.2983740245895,1937.2983740245895,1937.2983740245895
CKT_0067,T1,1,13,747.5631588923594,3.457272539941464,747.5631588923593,747.5631588923592,747.5631588923593,747.5631588923593,747.5631588923594,747.5631588923593
CKT_0067,T1,1,14,429533.56906370755,1877.5266002611656,429533.5690637075,429533.5690637075,429533.5690637075,429533.56906370755,429533.56906370755,429533.5690637075
CKT_0067,T1,1,15,148410.16055714953,707.6312582881854,148410.1605571495,148410.16055714953,148410.16055714953,148410.16055714953,148410.16055714953,148410.16055714953
CKT_0067,T1,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,1,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CKT_0067,T1,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
