circuit_id,N,n_free,kappa_actual,max_eta,median_eta,max_omega,right_residual,max_forward_err,median_forward_err,build_s,infer_s,status
CKT_0067,11,6,60.384245119005115,2.852221843224284e-17,1.0405096015134465e-17,1.5697452597790493e-16,1.6651499509593908e-17,5.684341886080802e-14,0.0,0.486,4.684,ok
CKT_0068,13,8,6217.086121661982,2.5361645613995178e-17,3.801890417689783e-18,1.667284761027607e-16,7.159104344645049e-20,5.684341886080802e-14,0.0,0.649,8.805,ok
CKT_0069,11,7,304.3070481177254,1.0986128617031798e-16,1.1688191657384965e-17,1.5139147860490007e-16,2.089990012016888e-18,1.1368683772161603e-13,4.336808689942018e-19,0.532,6.241,ok
CKT_0070,7,4,329.7674424235332,6.563809510813399e-17,2.011226873576571e-17,1.1079626297921389e-16,1.1905816026316452e-18,4.547473508864641e-13,0.0,0.339,0.117,ok
CKT_0071,8,5,3282.4702544588495,1.1099616815378943e-16,4.9258475017391405e-18,1.1102127263582276e-16,8.62965476573983e-20,1.8189894035458565e-12,2.7755575615628914e-17,0.458,3.332,ok
CKT_0072,7,2,20.071307519340206,9.107022633744024e-17,5.541313430364542e-17,1.0731500099729848e-16,4.689904277836101e-17,2.2737367544323206e-13,1.9895196601282805e-13,0.223,0.021,ok
CKT_0073,8,5,60.817013869723816,5.5431280803539763e-17,2.089842882384994e-18,1.3356742630064811e-16,1.5733243546398652e-18,5.684341886080802e-14,0.0,0.411,3.334,ok
CKT_0074,7,3,3087.0940202271063,3.595111380551482e-20,1.2728939148275208e-22,5.551110190377914e-17,3.7465198533566807e-20,7.105427357601002e-15,0.0,0.302,0.044,ok
CKT_0075,10,7,16048.29818168689,5.8065576254863e-17,5.3393918481149166e-17,9.477089206530304e-17,1.125568436853286e-17,1.4551915228366852e-11,9.094947017729282e-13,0.526,7.044,ok
CKT_0076,10,7,431.8415110165165,8.451234765980529e-17,5.696205666301473e-17,1.3703582462967925e-16,5.378936002086081e-17,3.694822225952521e-12,3.353761712787673e-12,0.582,6.197,ok
CKT_0077,10,7,11126.56775078849,1.0770827052083316e-16,1.6525732893548343e-18,2.280317058958606e-16,1.7011041145446023e-18,3.026798367500305e-09,3.907985046680551e-13,0.521,6.188,ok
CKT_0078,10,5,106.85823530754848,1.1098383006868974e-16,6.368169424591782e-18,1.359610122528015e-16,8.644300212886724e-18,3.410605131648481e-13,2.220446049250313e-16,0.374,3.35,ok
CKT_0079,10,5,14.694730940951557,2.861003324329345e-17,4.077300429002336e-18,1.318671776360792e-16,1.3457917282188088e-17,2.842170943040401e-14,0.0,0.48,3.348,ok
CKT_0080,17,12,8804.268269944418,8.767036770303399e-17,1.532305498390235e-17,1.1102230246081038e-16,2.8133617978930107e-18,3.637978807091713e-12,0.0,1.382,17.736,ok
CKT_0081,17,11,156683.0337852807,9.287313075992123e-17,2.5950848531487486e-18,1.294534787080653e-16,3.39169047203921e-17,8.185452315956354e-12,0.0,0.917,15.7,ok
CKT_0082,17,12,137717.063278795,1.1095573128999434e-16,6.560906490274156e-20,1.994504987685335e-16,5.367986816061161e-21,1.4551915228366852e-11,0.0,1.399,17.155,ok
CKT_0083,17,12,2393.6271179386135,8.167418285001415e-17,1.4884238320571538e-17,1.247890590672901e-16,9.245488141028915e-20,3.637978807091713e-12,0.0,1.38,18.908,ok
CKT_0084,21,17,15159.515693114032,1.7060386406743366e-16,2.4850363771047245e-17,2.388089852950957e-16,1.5104921318847838e-17,2.9103830456733704e-11,3.069544618483633e-12,3.018,27.197,ok
CKT_0085,21,16,6601.9532088598,9.294894114884109e-17,3.594728088684398e-17,1.6903633797315599e-16,3.264373573099534e-17,3.1468516681343317e-10,6.093614501878619e-11,2.282,15.619,ok
CKT_0086,25,19,34827.46830944497,1.0813343536160449e-16,3.506730709501841e-17,2.122712413257376e-16,2.237535246826999e-17,9.367795428261161e-11,4.831690603168681e-13,3.295,32.218,ok
CKT_0087,25,20,57789.73634058237,1.2155502829688308e-16,2.5448716711873218e-17,2.4551980975910163e-16,2.298276898648358e-17,1.367880031466484e-09,2.9700686354772188e-12,3.444,44.246,ok
CKT_0088,26,21,16963.541947209033,2.1327834705321101e-16,4.3970997035941395e-17,2.56097234122961e-16,1.546924105933984e-17,1.1932570487260818e-09,2.0463630789890885e-12,3.741,52.093,ok
CKT_0089,17,11,5688.197095563454,5.1970775524230174e-17,1.1618577316009312e-18,1.6538048953079584e-16,1.7385492546153862e-18,1.4551915228366852e-11,1.3552527156068805e-20,0.9,16.193,ok
CKT_0090,19,13,6503.3380475194845,5.755149583323577e-17,4.231598566676563e-18,1.6059939973305767e-16,6.679769916496267e-18,7.275957614183426e-12,2.220446049250313e-16,1.788,17.513,ok
CKT_0091,17,12,4389.511473813151,5.684331122962615e-17,7.15406996380162e-19,1.9045216809752202e-16,6.230889263823845e-19,1.8189894035458565e-12,7.37257477290143e-18,1.418,19.122,ok
CKT_0092,19,13,2737.3530734140336,8.09952530821862e-17,1.1418851141576783e-18,2.41720209940982e-16,7.895171191074061e-19,1.8189894035458565e-12,2.168404344971009e-18,1.858,13.654,ok
CKT_0093,17,13,90321.25326347617,1.215037216550607e-16,5.99033968448241e-17,1.7895849928508901e-16,2.2502986222872963e-17,2.6193447411060333e-10,1.2434497875801753e-13,1.73,13.351,ok
CKT_0094,10,6,8.86805445314406,7.23606904565597e-17,3.694774565683347e-17,1.110222102243221e-16,5.9284123341729e-17,2.1316282072803006e-14,0.0,0.452,2.947,ok
CKT_0095,11,5,24.74417406978865,6.671113909240858e-17,2.6288660379762298e-17,1.4997450578354147e-16,3.527531227900435e-17,4.263256414560601e-14,1.1102230246251565e-16,0.454,3.402,ok
CKT_0096,10,5,192.06888037247285,6.224562765930017e-17,3.846091719825781e-17,9.740708948447176e-17,4.486604485360198e-17,4.320099833421409e-12,3.637978807091713e-12,0.417,3.377,ok
