circuit_id,setting,N,n_free,pred_v,truth_v,abs_error_v,delta_vs_float64,pass_50mv,pass_75mv,build_status,run_status,run_time_s,error
CKT_0017,int16,,2,0.000000,0.1047,0.104700,0.100000,FAIL,FAIL,,FAIL,0.22,
CKT_0017,int8,,2,0.000000,0.1047,0.104700,0.100000,FAIL,FAIL,,FAIL,0.15,
CKT_0017,int4,,2,0.000000,0.1047,0.104700,0.100000,FAIL,FAIL,,FAIL,0.21,
CKT_0017,prune10,,2,0.100000,0.1047,0.004700,0.000000,PASS,PASS,,PASS,0.13,
CKT_0017,prune50,,2,0.100000,0.1047,0.004700,0.000000,PASS,PASS,,PASS,0.09,
CKT_0017,prune90,,2,0.100000,0.1047,0.004700,0.000000,PASS,PASS,,PASS,0.07,
CKT_0018,float64,,2,8.900000,8.9241,0.024100,0.000000,PASS,PASS,,PASS,0.40,
CKT_0018,int16,,2,0.000000,8.9241,8.924100,8.900000,FAIL,FAIL,,FAIL,0.38,
CKT_0018,int8,,2,0.000000,8.9241,8.924100,8.900000,FAIL,FAIL,,FAIL,0.58,
CKT_0018,int4,,2,0.000000,8.9241,8.924100,8.900000,FAIL,FAIL,,FAIL,0.11,
CKT_0018,prune10,,2,8.900000,8.9241,0.024100,0.000000,PASS,PASS,,PASS,0.56,
CKT_0018,prune50,,2,8.900000,8.9241,0.024100,0.000000,PASS,PASS,,PASS,0.39,
CKT_0018,prune90,,2,8.900000,8.9241,0.024100,0.000000,PASS,PASS,,PASS,0.32,
CKT_0019,float64,,2,1.700000,1.7068,0.006800,0.000000,PASS,PASS,,PASS,0.46,
CKT_0019,int16,,2,0.000000,1.7068,1.706800,1.700000,FAIL,FAIL,,FAIL,0.07,
CKT_0019,int8,,2,0.000000,1.7068,1.706800,1.700000,FAIL,FAIL,,FAIL,0.04,
CKT_0019,int4,,2,0.000000,1.7068,1.706800,1.700000,FAIL,FAIL,,FAIL,0.02,
CKT_0019,prune10,,2,1.700000,1.7068,0.006800,0.000000,PASS,PASS,,PASS,0.02,
CKT_0019,prune50,,2,1.700000,1.7068,0.006800,0.000000,PASS,PASS,,PASS,0.02,
CKT_0019,prune90,,2,1.700000,1.7068,0.006800,0.000000,PASS,PASS,,PASS,0.02,
CKT_0020,float64,,2,0.300000,0.3189,0.018900,0.000000,PASS,PASS,,PASS,0.02,
CKT_0020,int16,,2,0.000000,0.3189,0.318900,0.300000,FAIL,FAIL,,FAIL,0.02,
CKT_0020,int8,,2,0.000000,0.3189,0.318900,0.300000,FAIL,FAIL,,FAIL,0.02,
CKT_0020,int4,,2,0.000000,0.3189,0.318900,0.300000,FAIL,FAIL,,FAIL,0.02,
CKT_0020,prune10,,2,0.300000,0.3189,0.018900,0.000000,PASS,PASS,,PASS,0.02,
CKT_0020,prune50,,2,0.300000,0.3189,0.018900,0.000000,PASS,PASS,,PASS,0.02,
CKT_0020,prune90,,2,0.300000,0.3189,0.018900,0.000000,PASS,PASS,,PASS,0.02,
CKT_0021,float64,,2,1.650000,1.6444,0.005600,0.000000,PASS,PASS,,PASS,0.02,
CKT_0021,int16,,2,0.000000,1.6444,1.644400,1.650000,FAIL,FAIL,,FAIL,0.02,
CKT_0021,int8,,2,0.000000,1.6444,1.644400,1.650000,FAIL,FAIL,,FAIL,0.02,
CKT_0021,int4,,2,0.000000,1.6444,1.644400,1.650000,FAIL,FAIL,,FAIL,0.02,
CKT_0021,prune10,,2,1.650000,1.6444,0.005600,0.000000,PASS,PASS,,PASS,0.02,
CKT_0021,prune50,,2,1.650000,1.6444,0.005600,0.000000,PASS,PASS,,PASS,0.02,
CKT_0021,prune90,,2,1.650000,1.6444,0.005600,0.000000,PASS,PASS,,PASS,0.15,
CKT_0022,float64,,2,0.100000,0.0973,0.002700,0.000000,PASS,PASS,,PASS,0.02,
CKT_0022,int16,,2,0.000000,0.0973,0.097300,0.100000,FAIL,FAIL,,FAIL,0.02,
CKT_0022,int8,,2,0.000000,0.0973,0.097300,0.100000,FAIL,FAIL,,FAIL,0.02,
CKT_0022,int4,,2,0.000000,0.0973,0.097300,0.100000,FAIL,FAIL,,FAIL,0.02,
CKT_0022,prune10,,2,0.100000,0.0973,0.002700,0.000000,PASS,PASS,,PASS,0.04,
CKT_0022,prune50,,2,0.100000,0.0973,0.002700,0.000000,PASS,PASS,,PASS,0.03,
CKT_0022,prune90,,2,0.100000,0.0973,0.002700,0.000000,PASS,PASS,,PASS,0.42,
CKT_0023,float64,,2,9.000000,8.9947,0.005300,0.000000,PASS,PASS,,PASS,0.06,
CKT_0023,int16,,2,0.000000,8.9947,8.994700,9.000000,FAIL,FAIL,,FAIL,0.02,
CKT_0023,int8,,2,0.000000,8.9947,8.994700,9.000000,FAIL,FAIL,,FAIL,0.02,
CKT_0023,int4,,2,0.000000,8.9947,8.994700,9.000000,FAIL,FAIL,,FAIL,0.03,
CKT_0023,prune10,,2,9.000000,8.9947,0.005300,0.000000,PASS,PASS,,PASS,0.07,
CKT_0023,prune50,,2,9.000000,8.9947,0.005300,0.000000,PASS,PASS,,PASS,0.08,
CKT_0023,prune90,,2,9.000000,8.9947,0.005300,0.000000,PASS,PASS,,PASS,0.09,
CKT_0024,float64,,2,0.050000,0.0577,0.007700,0.000000,PASS,PASS,,PASS,0.02,
CKT_0024,int16,,2,0.000000,0.0577,0.057700,0.050000,FAIL,PASS,,FAIL,0.02,
CKT_0024,int8,,2,0.000000,0.0577,0.057700,0.050000,FAIL,PASS,,FAIL,0.02,
CKT_0024,int4,,2,0.000000,0.0577,0.057700,0.050000,FAIL,PASS,,FAIL,0.02,
CKT_0024,prune10,,2,0.050000,0.0577,0.007700,0.000000,PASS,PASS,,PASS,0.02,
