circuit_id,complexity,N,n_free,n_fixed,target_node,pred_V,truth_V,abs_error,pass_fail,lu_build_s,lu_infer_s,readout_build_s,infer_s,n_tokens,tx1_cache,tx2_cache,build_status,error
CKT_0112,Hard,23,19,4,12,12.0000,11.9984,0.0016,PASS,0.000,2.791,0.306,0.078,50,standard,standard,built,
CKT_0113,Hard,25,21,4,12,9.0000,8.995,0.0050,PASS,0.000,3.207,0.372,0.083,54,standard,standard,built,
CKT_0114,Hard,23,17,6,12,5.0000,4.9991,0.0009,PASS,0.000,2.457,0.316,0.079,50,standard,standard,built,
CKT_0115,Hard,25,21,4,12,23.6000,23.6344,0.0344,PASS,0.000,3.046,0.342,0.056,54,standard,standard,built,
CKT_0116,Hard,23,19,4,12,8.8500,8.8276,0.0224,PASS,0.000,2.753,0.368,0.051,50,standard,standard,built,
CKT_0117,Hard,13,7,6,7,0.0500,0.0487,0.0013,PASS,0.000,1.601,0.346,0.036,30,standard,standard,built,
CKT_0118,Hard,14,8,6,8,3.3000,3.3037,0.0037,PASS,0.000,1.557,0.348,0.037,32,standard,standard,built,
CKT_0119,Hard,13,9,4,7,0.0000,0.0237,0.0237,PASS,0.000,1.633,0.364,0.034,30,standard,standard,built,
CKT_0120,Hard,14,9,5,8,3.4500,3.4379,0.0121,PASS,0.000,1.576,0.377,0.041,32,standard,standard,built,
CKT_0121,Hard,13,8,5,7,1.2000,1.188,0.0120,PASS,0.000,1.565,0.302,0.061,30,standard,standard,built,
CKT_0122,Hard,18,14,4,9,6.1000,6.1243,0.0243,PASS,0.000,2.046,0.341,0.049,40,standard,standard,built,
CKT_0123,Hard,18,13,5,9,0.5000,0.497,0.0030,PASS,0.000,1.869,0.342,0.046,40,standard,standard,built,
CKT_0124,Hard,18,12,6,9,7.4000,7.4091,0.0091,PASS,0.000,1.807,0.375,0.051,40,standard,standard,built,
CKT_0125,Hard,18,13,5,9,9.3000,9.3061,0.0061,PASS,0.000,1.888,0.346,0.043,40,standard,standard,built,
CKT_0126,Hard,18,13,5,9,12.6500,12.6372,0.0128,PASS,0.000,1.920,0.340,0.047,40,standard,standard,built,
CKT_0127,Hard,27,21,6,9,21.0000,21.0205,0.0205,PASS,0.000,3.151,0.341,0.118,58,standard,standard,built,
CKT_0128,Hard,27,21,6,9,0.0500,0.026,0.0240,PASS,0.000,3.171,0.298,0.087,58,standard,standard,built,
CKT_0129,Hard,43,37,6,42,8.8000,8.8102,0.0102,PASS,0.000,13.847,0.303,0.116,90,standard,standard,built,
CKT_0130,Hard,43,38,5,42,23.5500,23.6201,0.0701,PASS,0.000,15.398,0.376,0.089,90,standard,standard,built,
CKT_0131,Hard,49,43,6,48,14.1000,14.0817,0.0183,PASS,0.000,23.299,0.382,0.094,102,standard,standard,built,
CKT_0132,Hard,49,44,5,48,8.0000,7.9791,0.0209,PASS,0.000,28.096,0.336,0.119,102,standard,standard,built,
CKT_0133,Hard,50,44,6,49,7.0000,6.976,0.0240,PASS,0.000,25.853,0.345,0.100,104,standard,standard,built,
CKT_0134,Hard,29,24,5,14,12.0000,11.995,0.0050,PASS,0.000,3.900,0.347,0.062,62,standard,standard,built,
CKT_0135,Hard,31,25,6,16,14.9500,14.9694,0.0194,PASS,0.000,4.453,0.386,0.063,66,standard,standard,built,
CKT_0136,Hard,29,24,5,14,11.3000,11.3129,0.0129,PASS,0.000,4.110,0.339,0.078,62,standard,standard,built,
CKT_0137,Hard,31,25,6,16,1.8500,1.8463,0.0037,PASS,0.000,4.385,0.347,0.068,66,standard,standard,built,
CKT_0138,Hard,29,23,6,14,11.7000,11.7056,0.0056,PASS,0.000,3.668,0.374,0.062,62,standard,standard,built,
CKT_0139,Hard,15,10,5,8,3.3000,3.3,0.0000,PASS,0.000,1.658,0.362,0.038,34,standard,standard,built,
CKT_0140,Hard,16,10,6,9,15.0000,14.9813,0.0187,PASS,0.000,1.701,0.329,0.070,36,standard,standard,built,
CKT_0141,Hard,15,9,6,8,4.0500,4.0347,0.0153,PASS,0.000,1.695,0.331,0.063,34,standard,standard,built,
CKT_0142,Hard,16,10,6,9,1.9000,1.9138,0.0138,PASS,0.000,1.724,0.383,0.046,36,standard,standard,built,
CKT_0143,Hard,15,9,6,8,1.8500,1.83,0.0200,PASS,0.000,1.610,0.347,0.046,34,standard,standard,built,
CKT_0144,Hard,22,17,5,11,9.3000,9.281,0.0190,PASS,0.000,2.413,0.343,0.074,48,standard,standard,built,
CKT_0145,Hard,22,16,6,11,7.7000,7.6912,0.0088,PASS,0.000,2.306,0.380,0.043,48,standard,standard,built,
CKT_0146,Hard,22,17,5,11,6.7500,6.7647,0.0147,PASS,0.000,2.458,0.363,0.076,48,standard,standard,built,
CKT_0147,Hard,22,17,5,11,5.2500,5.227,0.0230,PASS,0.000,2.479,0.344,0.069,48,standard,standard,built,
CKT_0148,Hard,22,17,5,11,8.9500,8.9632,0.0132,PASS,0.000,2.326,0.341,0.049,48,standard,standard,built,
CKT_0149,Hard,10,6,4,5,2.0000,1.9826,0.0174,PASS,0.000,1.458,0.348,0.052,24,standard,standard,built,
CKT_0150,Hard,10,5,5,5,9.0000,8.9991,0.0009,PASS,0.000,1.457,0.339,0.034,24,standard,standard,built,
CKT_0151,Hard,14,9,5,7,15.0000,15.0,0.0000,PASS,0.000,1.581,0.298,0.068,32,standard,standard,built,
CKT_0152,Hard,14,8,6,7,3.6000,3.5907,0.0093,PASS,0.000,1.590,0.299,0.068,32,standard,standard,built,
CKT_0153,Hard,18,13,5,9,3.4500,3.4371,0.0129,PASS,0.000,1.927,0.330,0.071,40,standard,standard,built,
CKT_0154,Hard,22,16,6,11,13.3000,13.3355,0.0355,PASS,0.000,2.261,0.344,0.051,48,standard,standard,built,
