circuit_id,complexity,N,n_free,n_fixed,target_node,pred_V_dsl,truth_V,abs_error,pass_fail,lu_build_s,lu_infer_s,readout_build_s,infer_s,n_tokens,build_status,error
CKT_0123,Hard,,,,9,0.5000,0.497,0.0030,PASS,,,,0.04,40,cached,
CKT_0124,Hard,,,,9,7.4000,7.4091,0.0091,PASS,,,,0.03,40,cached,
CKT_0125,Hard,,,,9,9.3000,9.3061,0.0061,PASS,,,,0.04,40,cached,
CKT_0126,Hard,,,,9,12.6500,12.6372,0.0128,PASS,,,,0.04,40,cached,
CKT_0127,Hard,,,,9,21.0000,21.0205,0.0205,PASS,,,,0.05,58,cached,
CKT_0128,Hard,,,,9,0.0500,0.026,0.0240,PASS,,,,0.05,58,cached,
CKT_0129,Hard,,,,42,8.8000,8.8102,0.0102,PASS,,,,0.10,90,cached,
CKT_0130,Hard,,,,42,23.5500,23.6201,0.0701,FAIL,,,,0.09,90,cached,
CKT_0131,Hard,,,,48,14.1000,14.0817,0.0183,PASS,,,,0.10,102,cached,
CKT_0132,Hard,,,,48,8.0000,7.9791,0.0209,PASS,,,,0.09,102,cached,
CKT_0133,Hard,,,,49,7.0000,6.976,0.0240,PASS,,,,0.11,104,cached,
CKT_0134,Hard,,,,14,12.0000,11.995,0.0050,PASS,,,,0.05,62,cached,
CKT_0135,Hard,,,,16,14.9500,14.9694,0.0194,PASS,,,,0.07,66,cached,
CKT_0136,Hard,,,,14,11.3000,11.3129,0.0129,PASS,,,,0.06,62,cached,
CKT_0137,Hard,,,,16,1.8500,1.8463,0.0037,PASS,,,,0.06,66,cached,
CKT_0138,Hard,,,,14,11.7000,11.7056,0.0056,PASS,,,,0.06,62,cached,
CKT_0139,Hard,,,,8,3.3000,3.3,0.0000,PASS,,,,0.03,34,cached,
CKT_0140,Hard,,,,9,15.0000,14.9813,0.0187,PASS,,,,0.04,36,cached,
CKT_0141,Hard,,,,8,4.0500,4.0347,0.0153,PASS,,,,0.03,34,cached,
CKT_0142,Hard,,,,9,1.9000,1.9138,0.0138,PASS,,,,0.03,36,cached,
CKT_0143,Hard,,,,8,1.8500,1.83,0.0200,PASS,,,,0.03,34,cached,
CKT_0144,Hard,,,,11,9.3000,9.281,0.0190,PASS,,,,0.05,48,cached,
CKT_0145,Hard,,,,11,7.7000,7.6912,0.0088,PASS,,,,0.05,48,cached,
CKT_0146,Hard,,,,11,6.7500,6.7647,0.0147,PASS,,,,0.04,48,cached,
CKT_0147,Hard,,,,11,5.2500,5.227,0.0230,PASS,,,,0.04,48,cached,
CKT_0148,Hard,,,,11,8.9500,8.9632,0.0132,PASS,,,,0.05,48,cached,
CKT_0149,Hard,,,,5,2.0000,1.9826,0.0174,PASS,,,,0.02,24,cached,
CKT_0150,Hard,,,,5,9.0000,8.9991,0.0009,PASS,,,,0.02,24,cached,
CKT_0151,Hard,,,,7,15.0000,15.0,0.0000,PASS,,,,0.03,32,cached,
CKT_0152,Hard,,,,7,3.6000,3.5907,0.0093,PASS,,,,0.03,32,cached,
CKT_0153,Hard,,,,9,3.4500,3.4371,0.0129,PASS,,,,0.03,40,cached,
CKT_0154,Hard,,,,11,13.3000,13.3355,0.0355,PASS,,,,0.05,48,cached,
