circuit_id,complexity,N,max_degree,target_node,rho_J,omega,T_used,n_red,n_black,conflicts,pred_V_dsl,ref_V_rbsor,jacobi_ref_V,truth_V,abs_error,pass_fail,dsl_matches_ref,seq_length,run_time_s,n_layers,d_model,build_status,run_status,error
CKT_0060,Hard,13,4,12,0.991785,1.7732,200,7,6,0,17.2500,17.2500,17.0850,17.1311,0.1189,FAIL,Y,5230,4.53,6,36,built,FAIL,
CKT_0061,Hard,13,4,12,0.984967,1.7054,200,7,6,0,11.3500,11.3500,11.3941,11.4013,0.0513,FAIL,Y,5230,4.56,6,36,built,FAIL,
CKT_0062,Hard,16,4,15,0.998220,1.8874,200,8,8,0,5.4000,5.4000,3.8280,5.0088,0.3912,FAIL,Y,6436,5.56,6,36,built,FAIL,
CKT_0063,Hard,16,4,15,0.999829,1.9637,300,8,8,0,0.0000,0.0000,0.0686,0.2298,0.2298,FAIL,Y,9636,8.39,6,36,built,FAIL,
CKT_0064,Hard,17,4,16,0.999912,1.9738,398,9,8,0,10.7000,10.7000,5.8617,8.9905,1.7095,FAIL,Y,13570,11.79,6,36,built,FAIL,
CKT_0065,Hard,11,4,6,0.943437,1.5020,200,5,6,5,23.9500,23.9500,10.1860,10.1916,13.7584,FAIL,Y,4426,3.79,6,36,built,FAIL,
CKT_0066,Hard,13,4,6,0.985660,1.7112,200,7,6,6,14.9500,14.9500,12.4165,12.4153,2.5347,FAIL,Y,5230,4.51,6,36,built,FAIL,
CKT_0067,Hard,11,4,6,0.854236,1.3159,200,5,6,5,21.1500,21.1500,21.2575,21.2617,0.1117,FAIL,Y,4426,3.83,6,36,built,FAIL,
CKT_0068,Hard,13,4,6,0.863106,1.3289,200,7,6,6,23.9500,23.9500,23.9999,24.0,0.0500,FAIL,Y,5230,4.50,6,36,built,FAIL,
CKT_0069,Hard,11,4,6,0.905907,1.4050,200,5,6,5,6.7000,6.7000,6.7340,6.7311,0.0311,PASS,Y,4426,3.82,6,36,built,PASS,
CKT_0070,Hard,7,6,4,0.687908,1.1589,200,2,5,7,0.0000,0.0000,0.0219,0.0221,0.0221,PASS,Y,2818,2.46,6,36,built,PASS,
