circuit_id,category,N,rho_J,omega,T,pred_V_dsl,ref_V_rbsor,truth_V,abs_error,pass_fail,run_time_s,build_status,run_status,error
CKT_0124,rescue,18,0.902033,1.3970,100,7.4000,7.4000,7.4091,0.0091,PASS,3.19,built,PASS,
CKT_0124,rescue,18,0.902033,1.3970,200,7.4000,7.4000,7.4091,0.0091,PASS,6.42,built,PASS,
CKT_0124,rescue,18,0.902033,1.3970,500,7.4000,7.4000,7.4091,0.0091,PASS,15.98,built,PASS,
CKT_0124,rescue,18,0.902033,1.3970,1000,7.7500,7.4000,7.4091,0.3409,FAIL,31.95,built,FAIL,
CKT_0124,rescue,18,0.902033,1.3970,2000,0.0000,7.4000,7.4091,7.4091,FAIL,63.66,built,FAIL,
CKT_0137,rescue,31,0.999662,1.9493,50,2.4000,2.4000,1.8463,0.5537,FAIL,2.74,built,FAIL,
CKT_0137,rescue,31,0.999662,1.9493,100,1.7000,1.7000,1.8463,0.1463,FAIL,5.48,built,FAIL,
CKT_0137,rescue,31,0.999662,1.9493,200,2.1000,2.1000,1.8463,0.2537,FAIL,10.87,built,FAIL,
CKT_0137,rescue,31,0.999662,1.9493,500,2.1000,2.1000,1.8463,0.2537,FAIL,27.02,built,FAIL,
CKT_0137,rescue,31,0.999662,1.9493,1000,0.0000,2.0000,1.8463,1.8463,FAIL,54.14,built,FAIL,
CKT_0137,rescue,31,0.999662,1.9493,2000,4.6500,2.1000,1.8463,2.8037,FAIL,108.33,built,FAIL,
CKT_0059,regression,12,0.999918,1.9747,50,0.0000,0.0000,0.066,0.0660,FAIL,1.07,built,FAIL,
CKT_0059,regression,12,0.999918,1.9747,100,0.0000,0.0000,0.066,0.0660,FAIL,2.11,built,FAIL,
CKT_0059,regression,12,0.999918,1.9747,200,0.0000,0.0000,0.066,0.0660,FAIL,4.18,built,FAIL,
CKT_0059,regression,12,0.999918,1.9747,500,0.0000,0.0000,0.066,0.0660,FAIL,10.45,built,FAIL,
CKT_0059,regression,12,0.999918,1.9747,1000,0.0000,0.0000,0.066,0.0660,FAIL,20.85,built,FAIL,
CKT_0059,regression,12,0.999918,1.9747,2000,0.0000,0.0000,0.066,0.0660,FAIL,41.76,built,FAIL,
CKT_0066,regression,13,0.985660,1.7112,50,14.9500,14.9500,12.4153,2.5347,FAIL,1.19,built,FAIL,
CKT_0066,regression,13,0.985660,1.7112,100,14.9500,14.9500,12.4153,2.5347,FAIL,2.31,built,FAIL,
CKT_0066,regression,13,0.985660,1.7112,200,14.9500,14.9500,12.4153,2.5347,FAIL,4.67,built,FAIL,
CKT_0066,regression,13,0.985660,1.7112,500,14.9500,14.9500,12.4153,2.5347,FAIL,11.48,built,FAIL,
CKT_0066,regression,13,0.985660,1.7112,1000,14.9500,14.9500,12.4153,2.5347,FAIL,22.97,built,FAIL,
CKT_0066,regression,13,0.985660,1.7112,2000,14.0500,14.9500,12.4153,1.6347,FAIL,46.11,built,FAIL,
CKT_0080,regression,17,0.997784,1.8752,50,4.8500,4.8500,4.9311,0.0811,FAIL,1.54,built,FAIL,
CKT_0080,regression,17,0.997784,1.8752,100,4.8500,4.8500,4.9311,0.0811,FAIL,3.05,built,FAIL,
CKT_0080,regression,17,0.997784,1.8752,200,4.8500,4.8500,4.9311,0.0811,FAIL,6.09,built,FAIL,
CKT_0080,regression,17,0.997784,1.8752,500,4.8500,4.8500,4.9311,0.0811,FAIL,14.97,built,FAIL,
CKT_0080,regression,17,0.997784,1.8752,1000,6.4000,4.8500,4.9311,1.4689,FAIL,30.12,built,FAIL,
CKT_0080,regression,17,0.997784,1.8752,2000,3.7500,4.8500,4.9311,1.1811,FAIL,59.93,built,FAIL,
CKT_0081,regression,17,0.999987,1.9899,50,0.0000,0.0000,4.7176,4.7176,FAIL,1.56,built,FAIL,
CKT_0081,regression,17,0.999987,1.9899,100,0.0000,0.0000,4.7176,4.7176,FAIL,3.09,built,FAIL,
CKT_0081,regression,17,0.999987,1.9899,200,0.0000,0.0000,4.7176,4.7176,FAIL,6.04,built,FAIL,
CKT_0081,regression,17,0.999987,1.9899,500,0.0000,0.0000,4.7176,4.7176,FAIL,15.16,built,FAIL,
CKT_0081,regression,17,0.999987,1.9899,1000,0.0000,0.0000,4.7176,4.7176,FAIL,30.46,built,FAIL,
CKT_0081,regression,17,0.999987,1.9899,2000,0.0000,0.0000,4.7176,4.7176,FAIL,60.98,built,FAIL,
CKT_0103,regression,14,0.921822,1.4413,50,0.0000,0.0000,8.6457,8.6457,FAIL,1.25,built,FAIL,
CKT_0103,regression,14,0.921822,1.4413,100,0.0000,0.0000,8.6457,8.6457,FAIL,2.52,built,FAIL,
CKT_0103,regression,14,0.921822,1.4413,200,0.0000,0.0000,8.6457,8.6457,FAIL,5.00,built,FAIL,
CKT_0103,regression,14,0.921822,1.4413,500,0.0000,0.0000,8.6457,8.6457,FAIL,12.54,built,FAIL,
CKT_0103,regression,14,0.921822,1.4413,1000,0.0000,0.0000,8.6457,8.6457,FAIL,25.19,built,FAIL,
CKT_0103,regression,14,0.921822,1.4413,2000,6.6000,0.0000,8.6457,2.0457,FAIL,50.34,built,FAIL,
CKT_0113,regression,25,0.999905,1.9728,50,9.6000,9.6000,8.995,0.6050,FAIL,2.34,built,FAIL,
CKT_0113,regression,25,0.999905,1.9728,100,9.2500,9.2500,8.995,0.2550,FAIL,4.43,built,FAIL,
CKT_0113,regression,25,0.999905,1.9728,200,9.0500,9.0500,8.995,0.0550,FAIL,9.10,built,FAIL,
CKT_0113,regression,25,0.999905,1.9728,500,9.0500,9.0500,8.995,0.0550,FAIL,22.50,built,FAIL,
CKT_0113,regression,25,0.999905,1.9728,1000,9.2500,9.0500,8.995,0.2550,FAIL,44.50,built,FAIL,
CKT_0113,regression,25,0.999905,1.9728,2000,7.9000,9.0500,8.995,1.0950,FAIL,89.61,built,FAIL,
CKT_0116,regression,23,0.996926,1.8547,50,19.4500,19.4500,8.8276,10.6224,FAIL,2.07,built,FAIL,
CKT_0116,regression,23,0.996926,1.8547,100,19.6000,19.6000,8.8276,10.7724,FAIL,4.23,built,FAIL,
CKT_0116,regression,23,0.996926,1.8547,200,19.6000,19.6000,8.8276,10.7724,FAIL,8.28,built,FAIL,
CKT_0116,regression,23,0.996926,1.8547,500,19.6000,19.6000,8.8276,10.7724,FAIL,20.63,built,FAIL,
CKT_0116,regression,23,0.996926,1.8547,1000,11.8000,19.6000,8.8276,2.9724,FAIL,41.25,built,FAIL,
CKT_0116,regression,23,0.996926,1.8547,2000,0.0000,19.6000,8.8276,8.8276,FAIL,81.12,built,FAIL,
CKT_0120,regression,14,0.649970,1.1364,50,3.5500,3.5500,3.4379,0.1121,FAIL,1.25,built,FAIL,
CKT_0120,regression,14,0.649970,1.1364,100,3.5500,3.5500,3.4379,0.1121,FAIL,2.45,built,FAIL,
CKT_0120,regression,14,0.649970,1.1364,200,3.5500,3.5500,3.4379,0.1121,FAIL,4.94,built,FAIL,
CKT_0120,regression,14,0.649970,1.1364,500,3.5500,3.5500,3.4379,0.1121,FAIL,12.33,built,FAIL,
CKT_0120,regression,14,0.649970,1.1364,1000,3.5500,3.5500,3.4379,0.1121,FAIL,24.53,built,FAIL,
CKT_0120,regression,14,0.649970,1.1364,2000,3.4500,3.5500,3.4379,0.0121,PASS,49.25,built,PASS,
CKT_0123,regression,18,0.982621,1.6869,50,3.9000,3.9000,0.497,3.4030,FAIL,1.60,built,FAIL,
CKT_0123,regression,18,0.982621,1.6869,100,3.9000,3.9000,0.497,3.4030,FAIL,3.18,built,FAIL,
CKT_0123,regression,18,0.982621,1.6869,200,3.9000,3.9000,0.497,3.4030,FAIL,6.31,built,FAIL,
CKT_0123,regression,18,0.982621,1.6869,500,3.9000,3.9000,0.497,3.4030,FAIL,15.73,built,FAIL,
CKT_0123,regression,18,0.982621,1.6869,1000,3.6500,3.9000,0.497,3.1530,FAIL,31.43,built,FAIL,
CKT_0123,regression,18,0.982621,1.6869,2000,3.4000,3.9000,0.497,2.9030,FAIL,63.48,built,FAIL,
CKT_0128,regression,27,0.999715,1.9533,50,0.0000,0.0000,0.026,0.0260,PASS,2.44,built,PASS,
CKT_0128,regression,27,0.999715,1.9533,100,0.0000,0.0000,0.026,0.0260,PASS,4.92,built,PASS,
CKT_0128,regression,27,0.999715,1.9533,200,0.0000,0.0000,0.026,0.0260,PASS,9.63,built,PASS,
CKT_0128,regression,27,0.999715,1.9533,500,0.0000,0.0000,0.026,0.0260,PASS,23.85,built,PASS,
CKT_0128,regression,27,0.999715,1.9533,1000,0.1000,0.0000,0.026,0.0740,FAIL,47.87,built,FAIL,
CKT_0128,regression,27,0.999715,1.9533,2000,0.0000,0.0000,0.026,0.0260,PASS,96.27,built,PASS,
