circuit_id,N,kappa,sparsity,max_abs_err,median_abs_err,build_s,infer_s,status
CKT_0100,8,9.2536e+01,0.4688,1.9895196601282805e-13,2.8727020762175925e-14,0.848,0.143,ok
CKT_0101,9,1.1632e+02,0.5926,1.1368683772161603e-13,8.673617379884035e-19,1.324,0.323,ok
CKT_0102,8,3.1075e+02,0.6250,4.547473508864641e-13,0.0,0.852,0.137,ok
CKT_0103,8,1.2432e+04,0.6250,4.547473508864641e-13,0.0,0.707,0.2,ok
CKT_0104,18,3.0255e+03,0.8519,1.1368683772161603e-13,0.0,4.532,2.566,ok
CKT_0105,16,1.3862e+04,0.8516,1.8189894035458565e-12,0.0,4.155,2.104,ok
CKT_0106,17,2.6070e+04,0.8512,5.820766091346741e-11,0.0,5.593,2.521,ok
CKT_0107,27,1.9183e+03,0.8477,8.139977580867708e-11,1.0125233984581428e-12,11.798,6.858,ok
CKT_0108,27,2.3753e+04,0.8477,6.548361852765083e-11,9.663381206337363e-13,11.296,4.737,ok
CKT_0109,30,1.9765e+05,0.8600,3.098102752119303e-07,3.1966465030563995e-09,8.396,5.697,ok
CKT_0110,31,2.0093e+05,0.8637,5.51808625459671e-08,6.284608389250934e-10,3.742,4.272,ok
CKT_0111,33,8.3281e+05,0.8724,9.313225746154785e-10,4.121147867408581e-12,3.562,6.459,ok
CKT_0112,19,2.5865e+04,0.7867,5.8862497098743916e-09,8.881784197001252e-16,1.265,1.104,ok
CKT_0113,21,4.2590e+04,0.8073,8.003553375601768e-11,8.881784197001252e-16,1.595,1.199,ok
CKT_0114,17,2.1437e+04,0.7958,1.4551915228366852e-11,1.6543612251060553e-24,2.102,1.784,ok
CKT_0115,21,2.5651e+05,0.8073,2.3646862246096134e-10,1.7763568394002505e-14,4.785,2.393,ok
CKT_0116,19,4.8768e+03,0.7978,4.547473508864641e-12,8.326672684688674e-17,4.026,1.956,ok
CKT_0117,7,1.6957e+01,0.6531,2.842170943040401e-14,0.0,0.702,0.233,ok
CKT_0118,8,2.4727e+01,0.6562,2.842170943040401e-14,0.0,1.075,0.488,ok
CKT_0119,9,1.0332e+02,0.6420,7.105427357601002e-15,6.203854594147708e-25,1.441,0.235,ok
CKT_0120,9,1.2272e+01,0.6667,1.4210854715202004e-14,6.162975822039155e-33,1.403,0.13,ok
CKT_0121,8,1.6500e+02,0.6250,2.2737367544323206e-13,0.0,0.395,0.102,ok
CKT_0122,14,1.9819e+02,0.6633,1.9895196601282805e-13,2.042810365310288e-14,0.772,0.371,ok
CKT_0123,13,3.7721e+05,0.6864,2.3283064365386963e-10,6.394884621840902e-14,0.744,0.319,ok
CKT_0124,12,7.4315e+03,0.7083,2.2737367544323206e-13,1.3877787807814457e-16,0.59,0.258,ok
CKT_0125,13,6.7169e+03,0.6391,5.184119800105691e-11,2.398081733190338e-13,0.764,0.319,ok
CKT_0126,13,7.1061e+03,0.6509,7.275957614183426e-12,3.774758283725532e-15,0.755,0.36,ok
CKT_0127,21,2.0231e+04,0.8798,4.547473508864641e-13,0.0,1.611,1.461,ok
CKT_0128,21,1.0958e+05,0.8798,5.820766091346741e-11,0.0,1.581,1.102,ok
CKT_0129,37,9.8969e+04,0.8853,6.824848242104053e-08,2.262368070660159e-11,4.888,9.688,ok
CKT_0130,38,1.6814e+05,0.8878,2.1100277081131935e-09,2.9899638320785016e-11,4.72,13.374,ok
CKT_0131,43,2.8039e+05,0.8999,4.650792106986046e-08,4.767741756950272e-12,24.922,17.639,ok
CKT_0132,44,1.1134e+05,0.9008,6.766640581190586e-08,9.094947017729282e-12,13.451,24.906,ok
CKT_0133,44,3.9679e+05,0.9008,7.445923984050751e-07,4.695266397902742e-10,16.783,24.887,ok
CKT_0134,24,5.1770e+04,0.8368,2.7284841053187847e-12,4.7704895589362195e-18,1.648,1.678,ok
CKT_0135,25,3.3815e+04,0.8448,5.2241375669837e-09,3.5998900258307764e-21,5.567,3.56,ok
CKT_0136,24,3.3220e+04,0.8368,3.1650415621697903e-10,8.526512829121202e-13,4.78,2.6,ok
CKT_0137,25,2.2419e+04,0.8544,4.180037649348378e-09,3.877453913503359e-14,6.009,3.043,ok
CKT_0138,23,8.0736e+03,0.8280,1.7280399333685637e-11,6.661338147750939e-16,1.949,1.527,ok
CKT_0139,10,3.8880e+03,0.7000,2.1316282072803006e-14,0.0,0.447,0.161,ok
CKT_0140,10,3.0369e+04,0.7400,2.9103830456733704e-11,0.0,0.464,0.165,ok
CKT_0141,9,3.0571e+02,0.6173,1.4210854715202004e-14,2.6020852139652106e-18,0.461,0.143,ok
CKT_0142,10,7.3951e+01,0.6800,5.684341886080802e-14,0.0,0.438,0.163,ok
CKT_0143,9,7.7357e+02,0.6667,4.547473508864641e-13,0.0,0.465,0.125,ok
CKT_0144,17,8.6728e+04,0.7336,3.183231456205249e-12,3.1086244689504383e-15,1.052,0.603,ok
CKT_0145,16,8.3573e+02,0.7422,7.73070496506989e-11,1.5631940186722204e-13,0.894,0.497,ok
CKT_0146,17,6.1585e+03,0.7197,7.958078640513122e-13,7.105427357601002e-15,1.017,0.612,ok
CKT_0147,17,1.7989e+04,0.7474,7.503331289626658e-12,3.552713678800501e-15,1.023,0.621,ok
CKT_0148,17,1.7420e+03,0.7474,3.865352482534945e-12,6.8833827526759706e-15,1.134,0.628,ok
CKT_0149,6,6.1255e+01,0.4444,1.9895196601282805e-13,2.6645352591003757e-14,0.294,0.063,ok
CKT_0150,5,3.1566e+01,0.5600,6.776263578034403e-21,0.0,0.299,0.043,ok
CKT_0151,9,1.3520e+04,0.5185,3.637978807091713e-12,1.7763568394002505e-15,0.433,0.133,ok
CKT_0152,8,7.9245e+02,0.5000,9.094947017729282e-13,0.0,0.386,0.102,ok
CKT_0153,13,4.8422e+03,0.7101,2.2737367544323206e-13,6.938893903907228e-18,0.695,0.317,ok
CKT_0154,16,1.5198e+04,0.7344,2.9558577807620168e-12,1.1546319456101628e-14,0.879,0.533,ok
