circuit_id,N,T_used,n_layers,d_model,d_ffn,n_heads,vocab,n_params,model_size_bytes,milp_time_s,build_time_s,inference_time_s,pred_V,truth_V,abs_error,seq_length,runtime_s,error,pass_fail
CKT_0081,17,1000,5,44,26,22,517,101376,816306,0.425,0.851,1051.562,4.7,4.7176,0.0176,17021,1051.562,,PASS
CKT_0082,17,1000,5,44,26,22,517,101376,816306,0.389,0.828,1058.492,2.4,2.3987,0.0013,17021,1058.492,,PASS
CKT_0083,17,1000,5,44,26,22,517,101376,816306,0.406,0.968,1060.817,15.0,14.9996,0.0004,17021,1060.817,,PASS
CKT_0084,21,1050,5,44,26,22,525,102080,822018,0.435,0.867,1866.684,13.2,14.2707,1.0707,22075,1866.684,,FAIL
CKT_0085,21,1050,5,44,26,22,525,102080,822018,0.377,0.804,1773.318,1.45,2.7688,1.3188,22075,1773.318,,FAIL
CKT_0086,25,1250,5,44,26,22,533,102784,827730,0.413,0.904,3719.127,1.25,4.6575,3.4075,31279,3719.127,,FAIL
CKT_0087,25,1250,5,44,26,22,533,102784,827730,0.428,0.864,3623.487,3.75,20.0725,16.3225,31279,3623.487,,FAIL
CKT_0088,26,1300,5,44,26,22,535,102960,829158,0.406,0.833,4221.149,4.85,4.9738,0.1238,33830,4221.149,,FAIL
CKT_0089,17,1000,5,44,26,22,517,101376,816306,0.378,0.804,1025.87,3.5,3.4927,0.0073,17021,1025.87,,PASS
CKT_0090,19,1000,5,44,26,22,521,101728,819162,0.377,0.803,1274.774,4.85,4.9572,0.1072,19023,1274.774,,FAIL
CKT_0091,17,1000,5,44,26,22,517,101376,816306,0.436,0.865,1029.028,13.4,13.3976,0.0024,17021,1029.028,,PASS
CKT_0092,19,1000,5,44,26,22,521,101728,819162,0.379,0.834,1279.538,15.05,15.0485,0.0015,19023,1279.538,,PASS
CKT_0093,17,1000,5,44,26,22,517,101376,816306,0.492,0.947,1024.719,0.65,10.8352,10.1852,17021,1024.719,,FAIL
CKT_0094,10,1000,5,44,26,22,503,100144,806310,0.395,0.875,369.553,4.15,4.1475,0.0025,10014,369.553,,PASS
CKT_0095,11,1000,5,44,26,22,505,100320,807738,0.408,0.872,449.269,1.8,1.8,0.0,11015,449.269,,PASS
CKT_0096,10,1000,5,44,26,22,503,100144,806310,0.387,0.817,371.844,11.3,11.3191,0.0191,10014,371.844,,PASS
CKT_0097,11,1000,5,44,26,22,505,100320,807738,0.435,0.859,445.984,4.3,4.2758,0.0242,11015,445.984,,PASS
CKT_0098,10,1000,5,44,26,22,503,100144,806310,0.45,0.883,375.857,9.2,9.202,0.002,10014,375.857,,PASS
CKT_0099,14,1000,5,44,26,22,511,100848,812022,0.422,0.928,713.249,1.85,1.8308,0.0192,14018,713.249,,PASS
CKT_0100,14,1000,5,44,26,22,511,100848,812022,0.443,0.908,704.407,5.0,5.0,0.0,14018,704.407,,PASS
CKT_0101,14,1000,5,44,26,22,511,100848,812022,0.424,0.857,709.501,2.65,2.6478,0.0022,14018,709.501,,PASS
CKT_0102,14,1000,5,44,26,22,511,100848,812022,0.435,0.886,708.299,10.85,10.8656,0.0156,14018,708.299,,PASS
CKT_0103,14,1000,5,44,26,22,511,100848,812022,0.393,0.824,707.569,8.65,8.6457,0.0043,14018,707.569,,PASS
CKT_0104,22,1100,5,44,26,22,527,102256,823446,0.417,0.891,2042.985,15.0,15.0,0.0,24226,2042.985,,PASS
CKT_0105,22,1100,5,44,26,22,527,102256,823446,0.368,0.779,1906.572,0.05,0.0601,0.0101,24226,1906.572,,PASS
CKT_0106,22,1100,5,44,26,22,527,102256,823446,0.375,0.801,1955.619,11.8,11.7927,0.0073,24226,1955.619,,PASS
CKT_0107,31,1550,5,44,26,22,545,103840,836298,0.366,0.784,8559.13,2.15,2.2513,0.1013,48085,8559.13,,FAIL
CKT_0108,31,1550,5,44,26,22,545,103840,836298,0.368,0.788,33788.19,0.8,3.8495,3.0495,48085,33788.19,,FAIL
CKT_0109,36,1800,5,44,26,22,555,104720,843438,0.463,0.922,32011.938,0.05,4.1397,4.0897,64840,32011.938,,FAIL
CKT_0110,36,1800,5,44,26,22,555,104720,843438,0.376,0.804,14995.97,0.3,5.2916,4.9916,64840,14995.97,,FAIL
CKT_0111,37,1850,5,44,26,22,557,104896,844866,0.383,0.793,28338.908,5.1,5.7196,0.6196,68491,28338.908,,FAIL
CKT_0112,23,1150,5,44,26,22,529,102432,824874,0.404,0.837,2827.976,12.0,11.9984,0.0016,26477,2827.976,,PASS
CKT_0113,25,1250,5,44,26,22,533,102784,827730,0.59,1.202,4635.097,9.0,8.995,0.005,31279,4635.097,,PASS
CKT_0114,23,1150,5,44,26,22,529,102432,824874,0.492,0.978,5737.401,5.0,4.9991,0.0009,26477,5737.401,,PASS
CKT_0115,25,1250,5,44,26,22,533,102784,827730,0.56,1.227,11391.946,22.2,23.6344,1.4344,31279,11391.946,,FAIL
CKT_0116,23,1150,5,44,26,22,529,102432,824874,0.532,1.126,7833.539,8.85,8.8276,0.0224,26477,7833.539,,PASS
CKT_0117,13,1000,5,44,26,22,509,100672,810594,0.561,1.161,3063.375,0.05,0.0487,0.0013,13017,3063.375,,PASS
CKT_0118,14,1000,5,44,26,22,511,100848,812022,0.524,1.129,3318.292,3.3,3.3037,0.0037,14018,3318.292,,PASS
CKT_0119,13,1000,5,44,26,22,509,100672,810594,0.58,1.237,2937.618,0.0,0.0237,0.0237,13017,2937.618,,PASS
CKT_0120,14,1000,5,44,26,22,511,100848,812022,0.531,1.148,2724.351,3.45,3.4379,0.0121,14018,2724.351,,PASS
CKT_0121,13,1000,5,44,26,22,509,100672,810594,0.463,1.021,1435.913,1.2,1.188,0.012,13017,1435.913,,PASS
CKT_0122,18,1000,5,44,26,22,519,101552,817734,0.471,1.018,1578.018,6.1,6.1243,0.0243,18022,1578.018,,PASS
CKT_0123,18,1000,5,44,26,22,519,101552,817734,0.393,0.837,1248.09,0.5,0.497,0.003,18022,1248.09,,PASS
CKT_0124,18,1000,5,44,26,22,519,101552,817734,0.397,0.859,1240.439,7.4,7.4091,0.0091,18022,1240.439,,PASS
CKT_0125,18,1000,5,44,26,22,519,101552,817734,0.383,0.839,1220.804,7.8,9.3061,1.5061,18022,1220.804,,FAIL
CKT_0126,18,1000,5,44,26,22,519,101552,817734,0.405,0.828,1102.834,12.6,12.6372,0.0372,18022,1102.834,,PASS
CKT_0127,27,1350,5,44,26,22,537,103136,830586,0.365,0.807,4373.756,21.0,21.0205,0.0205,36481,4373.756,,PASS
CKT_0128,27,1350,5,44,26,22,537,103136,830586,0.403,0.817,4372.35,0.05,0.026,0.024,36481,4372.35,,PASS
CKT_0129,43,2150,5,44,26,22,569,105952,853434,0.381,0.811,34175.655,5.7,8.8102,3.1102,92497,34175.655,,FAIL
CKT_0130,43,2150,5,44,26,22,569,105952,853434,0.378,0.792,28460.666,20.75,23.6201,2.8701,92497,28460.666,,FAIL
CKT_0131,49,2450,5,44,26,22,581,107008,862002,0.358,0.77,50542.827,12.55,14.0817,1.5317,120103,50542.827,,FAIL
CKT_0132,49,2450,5,44,26,22,581,107008,862002,0.356,0.757,51569.915,1.05,7.9791,6.9291,120103,51569.915,,FAIL
CKT_0133,50,2500,5,44,26,22,583,107184,863430,0.351,0.753,56443.504,0.1,6.976,6.876,125054,56443.504,,FAIL
CKT_0134,29,1450,5,44,26,22,541,103488,833442,0.349,0.743,5560.882,12.0,11.995,0.005,42083,5560.882,,PASS
CKT_0135,31,1550,5,44,26,22,545,103840,836298,0.369,0.766,7265.478,14.95,14.9694,0.0194,48085,7265.478,,PASS
CKT_0136,29,1450,5,44,26,22,541,103488,833442,0.36,0.766,5537.573,3.9,11.3129,7.4129,42083,5537.573,,FAIL
CKT_0137,31,1550,5,44,26,22,545,103840,836298,0.352,0.782,7241.09,1.85,1.8463,0.0037,48085,7241.09,,PASS
CKT_0138,29,1450,5,44,26,22,541,103488,833442,0.365,0.794,5541.591,6.55,11.7056,5.1556,42083,5541.591,,FAIL
CKT_0139,15,1000,5,44,26,22,513,101024,813450,0.347,0.736,689.23,3.3,3.3,0.0,15019,689.23,,PASS
CKT_0140,16,1000,5,44,26,22,515,101200,814878,0.348,0.744,779.479,15.0,14.9813,0.0187,16020,779.479,,PASS
CKT_0141,15,1000,5,44,26,22,513,101024,813450,0.347,0.77,696.216,4.05,4.0347,0.0153,15019,696.216,,PASS
CKT_0142,16,1000,5,44,26,22,515,101200,814878,0.38,0.772,785.49,1.9,1.9138,0.0138,16020,785.49,,PASS
CKT_0143,15,1000,5,44,26,22,513,101024,813450,0.349,0.785,695.874,1.85,1.83,0.02,15019,695.874,,PASS
CKT_0144,22,1100,5,44,26,22,527,102256,823446,0.388,0.784,1813.272,9.3,9.281,0.019,24226,1813.272,,PASS
CKT_0145,22,1100,5,44,26,22,527,102256,823446,0.356,0.75,1809.931,7.7,7.6912,0.0088,24226,1809.931,,PASS
CKT_0146,22,1100,5,44,26,22,527,102256,823446,0.376,0.78,1817.74,6.75,6.7647,0.0147,24226,1817.74,,PASS
CKT_0147,22,1100,5,44,26,22,527,102256,823446,0.353,0.746,1823.723,5.25,5.227,0.023,24226,1823.723,,PASS
CKT_0148,22,1100,5,44,26,22,527,102256,823446,0.35,0.74,1819.369,8.95,8.9632,0.0132,24226,1819.369,,PASS
CKT_0149,10,1000,5,44,26,22,503,100144,806310,0.347,0.739,301.751,2.0,1.9826,0.0174,10014,301.751,,PASS
CKT_0150,10,1000,5,44,26,22,503,100144,806310,0.383,0.772,300.868,9.0,8.9991,0.0009,10014,300.868,,PASS
CKT_0151,14,1000,5,44,26,22,511,100848,812022,0.35,0.778,603.625,15.0,15.0,0.0,14018,603.625,,PASS
CKT_0152,14,1000,5,44,26,22,511,100848,812022,0.351,0.775,597.111,3.55,3.5907,0.0407,14018,597.111,,PASS
CKT_0153,18,1000,5,44,26,22,519,101552,817734,0.383,0.772,994.435,3.45,3.4371,0.0129,18022,994.435,,PASS
CKT_0154,22,1100,5,44,26,22,527,102256,823446,0.349,0.786,1832.924,13.35,13.3355,0.0145,24226,1832.924,,PASS
