circuit_id,N,T_used,n_layers,d_model,d_ffn,n_heads,vocab,n_params,model_size_bytes,milp_time_s,build_time_s,inference_time,skipped_existing,T,pred_V,truth_V,abs_error,seq_length,runtime_s,error,pass_fail
CKT_0056,12,1000,5,44,26,22,507,100496,809166,0.424,0.902,7.584,False,1000,12.0,12.0,0.0,12016,7.584,,PASS
CKT_0057,12,1000,5,44,26,22,507,100496,809166,0.512,0.982,7.799,False,1000,7.55,7.567,0.017,12016,7.799,,PASS
CKT_0058,12,1000,5,44,26,22,507,100496,809166,0.427,0.976,7.65,False,1000,3.3,3.3,0.0,12016,7.65,,PASS
CKT_0059,12,1000,5,44,26,22,507,100496,809166,0.428,0.91,7.537,False,1000,0.05,0.066,0.016,12016,7.537,,PASS
CKT_0060,13,1000,5,44,26,22,509,100672,810594,0.429,0.982,8.188,False,1000,16.85,17.1311,0.2811,13017,8.188,,FAIL
CKT_0061,13,1000,5,44,26,22,509,100672,810594,0.407,0.882,7.963,False,1000,11.4,11.4013,0.0013,13017,7.963,,PASS
CKT_0062,16,1000,5,44,26,22,515,101200,814878,0.398,0.887,9.716,False,1000,2.25,5.0088,2.7588,16020,9.716,,FAIL
CKT_0063,16,1000,5,44,26,22,515,101200,814878,0.379,0.832,9.849,False,1000,0.05,0.2298,0.1798,16020,9.849,,FAIL
CKT_0064,17,1000,5,44,26,22,517,101376,816306,0.497,0.991,9.869,False,1000,3.65,8.9905,5.3405,17021,9.869,,FAIL
CKT_0065,11,1000,5,44,26,22,505,100320,807738,0.389,0.846,7.013,False,1000,10.2,10.1916,0.0084,11015,7.013,,PASS
CKT_0066,13,1000,5,44,26,22,509,100672,810594,0.476,0.955,8.149,False,1000,12.4,12.4153,0.0153,13017,8.149,,PASS
CKT_0067,11,1000,5,44,26,22,505,100320,807738,0.431,0.979,7.05,False,1000,21.25,21.2617,0.0117,11015,7.05,,PASS
CKT_0068,13,1000,5,44,26,22,509,100672,810594,0.42,0.892,7.991,False,1000,23.95,24.0,0.05,13017,7.991,,FAIL
