circuit_id,complexity,N,rho_M,kappa_A,truth_V,pred_V_dsl,jacobi_ref_V,abs_error,jacobi_err,dsl_vs_jacobi,mode
CKT_0070,Hard,7,0.6879080184,3.297674e+02,0.0221,0.0000,0.0219,0.0221,,,PASS
CKT_0071,Hard,8,0.6768429811,3.282470e+03,9.0,9.0000,9.0000,0.0000,,,PASS
CKT_0072,Hard,7,0.9047892963,2.007131e+01,1.8,1.8000,1.8000,0.0000,,,PASS
CKT_0073,Hard,8,0.4490798633,6.081701e+01,1.8238,1.8000,1.8221,0.0238,,,PASS
CKT_0074,Hard,7,0.0009426584,3.087094e+03,3.3,3.3000,3.3000,0.0000,,,PASS
CKT_0075,Hard,10,0.9993784089,1.604830e+04,7.1181,0.0000,3.2231,7.1181,3.8950,3.2231,A_non_convergent
CKT_0076,Hard,10,0.9942252209,4.318415e+02,0.906,0.0000,0.9212,0.9060,0.0152,0.9212,B_compound
CKT_0077,Hard,10,0.9925448158,1.112657e+04,9.0,9.0000,9.0000,0.0000,,,PASS
CKT_0078,Hard,10,0.7410720000,1.068582e+02,7.084,7.1000,7.0838,0.0160,,,PASS
CKT_0079,Hard,10,0.2217763321,1.469473e+01,3.3,3.3000,3.3000,0.0000,,,PASS
CKT_0080,Hard,17,0.9977843702,8.804268e+03,4.9311,4.9500,4.9314,0.0189,,,PASS
CKT_0081,Hard,17,0.9999872355,1.566830e+05,4.7176,4.7000,4.7122,0.0176,,,PASS
CKT_0082,Hard,17,0.9335074881,1.377171e+05,2.3987,2.4000,2.3982,0.0013,,,PASS
CKT_0083,Hard,17,0.5952013168,2.393627e+03,14.9996,15.0000,15.0000,0.0004,,,PASS
CKT_0084,Hard,21,0.9975238833,1.515952e+04,14.2707,9.2000,13.1582,5.0707,1.1125,3.9582,A_non_convergent
CKT_0085,Hard,21,0.9993236384,6.601953e+03,2.7688,0.0000,1.3920,2.7688,1.3768,1.3920,A_non_convergent
CKT_0086,Hard,25,0.9996620849,3.482747e+04,4.6575,0.0000,1.1988,4.6575,3.4587,1.1988,A_non_convergent
CKT_0087,Hard,25,0.9998139118,5.778974e+04,20.0725,0.0000,3.7002,20.0725,16.3723,3.7002,A_non_convergent
CKT_0088,Hard,26,0.9991944061,1.696354e+04,4.9738,2.9000,4.8591,2.0738,0.1147,1.9591,A_non_convergent
CKT_0089,Hard,17,0.9877623317,5.688197e+03,3.4927,3.4000,3.4946,0.0927,0.0019,0.0946,B_simple
CKT_0090,Hard,19,0.9973747779,6.503338e+03,4.9572,3.8000,4.8577,1.1572,0.0995,1.0577,A_non_convergent
CKT_0091,Hard,17,0.9773004993,4.389511e+03,13.3976,12.8000,13.4163,0.5976,0.0187,0.6163,B_compound
CKT_0092,Hard,19,0.8916620618,2.737353e+03,15.0485,14.9500,15.0483,0.0985,0.0002,0.0983,B_simple
CKT_0093,Hard,17,0.9999373638,9.032125e+04,10.8352,0.0000,0.5678,10.8352,10.2674,0.5678,A_non_convergent
CKT_0094,Hard,10,0.7912468977,8.868054e+00,4.1475,4.0500,4.1495,0.0975,0.0020,0.0995,B_simple
CKT_0095,Hard,11,0.9079651049,2.474417e+01,1.8,1.8000,1.8000,0.0000,,,PASS
CKT_0096,Hard,10,0.9842894535,1.920689e+02,11.3191,10.4500,11.2867,0.8691,0.0324,0.8367,B_compound
CKT_0097,Hard,11,0.7345179784,3.842314e+02,4.2758,4.3000,4.2771,0.0242,,,PASS
CKT_0098,Hard,10,0.8299583557,1.133050e+04,9.202,9.1500,9.2020,0.0520,0.0000,0.0520,B_simple
CKT_0099,Hard,14,0.9129586609,6.480877e+02,1.8308,1.7500,1.8290,0.0808,0.0018,0.0790,B_simple
CKT_0100,Hard,14,0.9723412695,9.253579e+01,5.0,5.0000,5.0000,0.0000,,,PASS
CKT_0101,Hard,14,0.9813483304,1.163169e+02,2.6478,1.8500,2.6446,0.7978,0.0032,0.7946,B_compound
CKT_0102,Hard,14,0.4049496700,3.107506e+02,10.8656,10.8500,10.8638,0.0156,,,PASS
CKT_0103,Hard,14,0.9218220146,1.243160e+04,8.6457,8.6000,8.6453,0.0457,,,PASS
CKT_0104,Hard,22,0.8568983343,3.025491e+03,15.0,15.0000,15.0000,0.0000,,,PASS
CKT_0105,Hard,22,0.7878807969,1.386173e+04,0.0601,0.0000,0.0598,0.0601,0.0003,0.0598,B_simple
CKT_0106,Hard,22,0.8683531874,2.607035e+04,11.7927,11.8000,11.7931,0.0073,,,PASS
CKT_0107,Hard,31,0.9975290789,1.918268e+03,2.2513,0.0000,2.1511,2.2513,0.1002,2.1511,A_non_convergent
CKT_0108,Hard,31,0.9997949396,2.375255e+04,3.8495,0.0000,0.7525,3.8495,3.0970,0.7525,A_non_convergent
CKT_0109,Hard,36,0.9999804813,1.976478e+05,4.1397,0.0000,0.0000,4.1397,4.1397,0.0000,A_non_convergent
CKT_0110,Hard,36,0.9999587312,2.009273e+05,5.2916,0.0000,0.1934,5.2916,5.0982,0.1934,A_non_convergent
CKT_0111,Hard,37,0.9993652838,8.328094e+05,5.7196,1.6500,5.0856,4.0696,0.6340,3.4356,A_non_convergent
CKT_0112,Hard,23,0.9998620247,2.586530e+04,11.9984,11.8500,11.9963,0.1484,0.0021,0.1463,B_compound
CKT_0113,Hard,25,0.9999050617,4.258990e+04,8.995,8.9500,8.9913,0.0450,,,PASS
CKT_0114,Hard,23,0.9681197005,2.143724e+04,4.9991,5.0000,4.9990,0.0009,,,PASS
CKT_0115,Hard,25,0.9974024832,2.565103e+05,23.6344,16.4500,22.1544,7.1844,1.4800,5.7044,A_non_convergent
CKT_0116,Hard,23,0.9969258834,4.876798e+03,8.8276,8.8000,8.8271,0.0276,,,PASS
CKT_0117,Hard,13,0.1262083063,1.695660e+01,0.0487,0.0500,0.0487,0.0013,,,PASS
CKT_0118,Hard,14,0.3044349300,2.472729e+01,3.3037,3.3000,3.3047,0.0037,,,PASS
CKT_0119,Hard,13,0.7664998640,1.033239e+02,0.0237,0.0000,0.0237,0.0237,,,PASS
