circuit_id,complexity,N,T_used,V_STEP_V,pred_V_dsl,truth_V,abs_error,pass_fail,jacobi_ref_V,rho_M,kappa_A,seq_length,dsl_time_ms,error
CKT_0093,Hard,17,1000,0.05,0.0000,10.8352,10.8352,FAIL,0.5678,0.999937,9.0321e+04,34038,7338.4,
CKT_0094,Hard,10,1000,0.05,4.0500,4.1475,0.0975,FAIL,4.1495,0.791247,8.8681e+00,20024,4216.1,
CKT_0095,Hard,11,1000,0.05,1.8000,1.8,0.0000,PASS,1.8000,0.907965,2.4744e+01,22026,4612.2,
CKT_0096,Hard,10,1000,0.05,10.4500,11.3191,0.8691,FAIL,11.2867,0.984289,1.9207e+02,20024,4170.5,
CKT_0097,Hard,11,1000,0.05,4.3000,4.2758,0.0242,PASS,4.2771,0.734518,3.8423e+02,22026,4656.6,
CKT_0098,Hard,10,1000,0.05,9.1500,9.202,0.0520,FAIL,9.2020,0.829958,1.1330e+04,20024,4225.7,
CKT_0099,Hard,14,1000,0.05,1.7500,1.8308,0.0808,FAIL,1.8290,0.912959,6.4809e+02,28032,5911.1,
CKT_0100,Hard,14,1000,0.05,5.0000,5.0,0.0000,PASS,5.0000,0.972341,9.2536e+01,28032,6006.5,
CKT_0101,Hard,14,1000,0.05,1.8500,2.6478,0.7978,FAIL,2.6446,0.981348,1.1632e+02,28032,6038.5,
CKT_0102,Hard,14,1000,0.05,10.8500,10.8656,0.0156,PASS,10.8638,0.404950,3.1075e+02,28032,6006.0,
CKT_0103,Hard,14,1000,0.05,8.6000,8.6457,0.0457,PASS,8.6453,0.921822,1.2432e+04,28032,5916.5,
CKT_0104,Hard,22,1100,0.05,15.0000,15.0,0.0000,PASS,15.0000,0.856898,3.0255e+03,48448,10489.6,
CKT_0105,Hard,22,1100,0.05,0.0000,0.0601,0.0601,FAIL,0.0598,0.787881,1.3862e+04,48448,10569.5,
CKT_0106,Hard,22,1100,0.05,11.8000,11.7927,0.0073,PASS,11.7931,0.868353,2.6070e+04,48448,10600.3,
CKT_0107,Hard,31,1550,0.05,0.0000,2.2513,2.2513,FAIL,2.1511,0.997529,1.9183e+03,96166,21408.9,
CKT_0108,Hard,31,1550,0.05,0.0000,3.8495,3.8495,FAIL,0.7525,0.999795,2.3753e+04,96166,21336.9,
CKT_0109,Hard,36,1800,0.05,0.0000,4.1397,4.1397,FAIL,0.0000,0.999980,1.9765e+05,129676,29099.0,
