circuit_id,N,T_used,n_layers,d_model,d_ffn,n_heads,vocab,n_params,model_size_bytes,milp_time_s,build_time_s,skipped_existing
CKT_0118,14,1000,5,36,20,,512,73584,593858,,0.49879908561706543,False
CKT_0119,13,1000,5,36,20,,510,73440,592682,,0.5037286281585693,False
CKT_0120,14,1000,5,36,20,,512,73584,593858,,0.4968893527984619,False
CKT_0121,13,1000,5,36,20,,510,73440,592682,,0.5463511943817139,False
CKT_0122,18,1000,5,36,20,,520,74160,598562,,0.5022919178009033,False
CKT_0123,18,1000,5,36,20,,520,74160,598562,,0.5136818885803223,False
CKT_0124,18,1000,5,36,20,,520,74160,598562,,0.6128799915313721,False
CKT_0125,18,1000,5,36,20,,520,74160,598562,,0.49819421768188477,False
CKT_0126,18,1000,5,36,20,,520,74160,598562,,0.5100429058074951,False
CKT_0127,27,1350,5,36,20,,538,75456,609146,,0.5192282199859619,False
CKT_0128,27,1350,5,36,20,,538,75456,609146,,0.5406866073608398,False
CKT_0129,43,2150,5,36,20,,570,77760,627962,,0.514756441116333,False
CKT_0130,43,2150,5,36,20,,570,77760,627962,,0.5174133777618408,False
CKT_0131,49,2450,5,36,20,,582,78624,635018,,0.5546135902404785,False
CKT_0132,49,2450,5,36,20,,582,78624,635018,,0.5101349353790283,False
CKT_0133,50,2500,5,36,20,,584,78768,636194,,0.5207934379577637,False
CKT_0134,29,1450,5,36,20,,542,75744,611498,,0.5197312831878662,False
CKT_0135,31,1550,5,36,20,,546,76032,613850,,0.5436584949493408,False
CKT_0136,29,1450,5,36,20,,542,75744,611498,,0.4920463562011719,False
CKT_0137,31,1550,5,36,20,,546,76032,613850,,0.5011947154998779,False
CKT_0138,29,1450,5,36,20,,542,75744,611498,,0.5463900566101074,False
CKT_0139,15,1000,5,36,20,,514,73728,595034,,0.496063232421875,False
CKT_0140,16,1000,5,36,20,,516,73872,596210,,0.5122933387756348,False
CKT_0141,15,1000,5,36,20,,514,73728,595034,,0.48572850227355957,False
CKT_0142,16,1000,5,36,20,,516,73872,596210,,0.5518600940704346,False
CKT_0143,15,1000,5,36,20,,514,73728,595034,,0.49761295318603516,False
CKT_0144,22,1100,5,36,20,,528,74736,603266,,0.5088307857513428,False
CKT_0145,22,1100,5,36,20,,528,74736,603266,,0.5381593704223633,False
CKT_0146,22,1100,5,36,20,,528,74736,603266,,0.49772119522094727,False
CKT_0147,22,1100,5,36,20,,528,74736,603266,,0.4920308589935303,False
CKT_0148,22,1100,5,36,20,,528,74736,603266,,0.4801459312438965,False
CKT_0149,10,1000,5,36,20,,504,73008,589154,,0.5301270484924316,False
CKT_0150,10,1000,5,36,20,,504,73008,589154,,0.49144601821899414,False
CKT_0151,14,1000,5,36,20,,512,73584,593858,,0.5048582553863525,False
CKT_0152,14,1000,5,36,20,,512,73584,593858,,0.5486984252929688,False
CKT_0153,18,1000,5,36,20,,520,74160,598562,,0.518836259841919,False
CKT_0154,22,1100,5,36,20,,528,74736,603266,,0.4985811710357666,False
