circuit_id,complexity,N,num_resistors,num_fixed_nodes,T_used,pred_V_dsl,truth_V,abs_error,pass_fail,pred_V_transformer,transformer_matches_dsl,jacobi_ref_V,direct_solve_V,rho_M,kappa_A,seq_length,dsl_time_ms,transformer_time_ms,n_layers,d_model,d_ffn,vocab,model_size_bytes,error
CKT_0081,Hard,17,30,6,1000,4.7000,4.7176,0.0176,PASS,,,4.7122,4.717571,0.9999872355,1.566830e+05,34038,8200.5,,5,36,20,518,597386,
CKT_0082,Hard,17,30,5,1000,2.4000,2.3987,0.0013,PASS,,,2.3982,2.398667,0.9335074881,1.377171e+05,34038,8093.0,,5,36,20,518,597386,
CKT_0083,Hard,17,30,5,1000,15.0000,14.9996,0.0004,PASS,,,15.0000,14.999624,0.5952013168,2.393627e+03,34038,8157.6,,5,36,20,518,597386,
CKT_0084,Hard,21,32,4,1050,9.2000,14.2707,5.0707,FAIL,,,13.1582,14.270741,0.9975238833,1.515952e+04,44146,10691.1,,5,36,20,526,602090,
CKT_0085,Hard,21,32,5,1050,0.0000,2.7688,2.7688,FAIL,,,1.3920,2.768811,0.9993236384,6.601953e+03,44146,10578.6,,5,36,20,526,602090,
CKT_0086,Hard,25,39,6,1250,0.0000,4.6575,4.6575,FAIL,,,1.1988,4.657466,0.9996620849,3.482747e+04,62554,15997.6,,5,36,20,534,606794,
CKT_0087,Hard,25,39,5,1250,0.0000,20.0725,20.0725,FAIL,,,3.7002,20.072455,0.9998139118,5.778974e+04,62554,15318.1,,5,36,20,534,606794,
CKT_0088,Hard,26,41,5,1300,2.9000,4.9738,2.0738,FAIL,,,4.8591,4.973768,0.9991944061,1.696354e+04,67656,18201.9,,5,36,20,536,607970,
CKT_0089,Hard,17,28,6,1000,3.4000,3.4927,0.0927,FAIL,,,3.4946,3.492681,0.9877623317,5.688197e+03,34038,8122.9,,5,36,20,518,597386,
CKT_0090,Hard,19,30,6,1000,3.8000,4.9572,1.1572,FAIL,,,4.8577,4.957221,0.9973747779,6.503338e+03,38042,10019.7,,5,36,20,522,599738,
CKT_0091,Hard,17,27,5,1000,12.8000,13.3976,0.5976,FAIL,,,13.4163,13.397559,0.9773004993,4.389511e+03,34038,7853.0,,5,36,20,518,597386,
CKT_0092,Hard,19,32,6,1000,14.9500,15.0485,0.0985,FAIL,,,15.0483,15.048524,0.8916620618,2.737353e+03,38042,9796.6,,5,36,20,522,599738,
CKT_0093,Hard,17,26,4,1000,0.0000,10.8352,10.8352,FAIL,,,0.5678,10.835196,0.9999373638,9.032125e+04,34038,9415.3,,5,36,20,518,597386,
