circuit_id,complexity,N,n_free,n_fixed,T1_build_s,T1_infer_s,T2_build_s,T2_infer_s,T2_n_tokens,T1_n_layers,T1_d_model,T1_n_params,T2_n_layers,T2_d_model,T2_n_params,pred_v,truth_v,abs_err_v,pass_50mv,pass_75mv,status,error
CKT_0047,Intermediate,6,4,2,1.5815,1.7707,0.3561,0.0162,16,3,46,43240,4,48,100608,3.25,3.2289,0.0211,PASS,PASS,OK,
CKT_0048,Intermediate,6,4,2,1.6269,1.7601,0.2924,0.0165,16,3,46,43240,4,48,100608,1.5,1.5197,0.0197,PASS,PASS,OK,
CKT_0049,Intermediate,6,4,2,1.5907,1.7987,0.3099,0.0143,16,3,46,43240,4,48,100608,0.95,0.9619,0.0119,PASS,PASS,OK,
CKT_0050,Intermediate,5,2,3,1.5225,1.7489,0.3043,0.0146,14,3,26,12506,4,48,100608,1.8,1.782,0.018,PASS,PASS,OK,
CKT_0051,Intermediate,5,2,3,1.5036,1.7677,0.3237,0.0145,14,3,26,12506,4,48,100608,2.0,2.0162,0.0162,PASS,PASS,OK,
CKT_0052,Intermediate,5,2,3,1.5015,1.7562,0.2894,0.0146,14,3,26,13208,4,48,100608,1.4,1.4137,0.0137,PASS,PASS,OK,
CKT_0053,Intermediate,5,2,3,1.5151,1.7943,0.3253,0.0147,14,3,26,13208,4,48,100608,1.3,1.2977,0.0023,PASS,PASS,OK,
CKT_0054,Intermediate,5,2,3,1.4946,1.7312,0.3229,0.0145,14,3,26,13208,4,48,100608,2.2,2.1968,0.0032,PASS,PASS,OK,
CKT_0055,Hard,12,7,5,1.73,1.8313,0.3335,0.0263,28,3,82,136120,4,48,100608,0.2,0.2155,0.0155,PASS,PASS,OK,
CKT_0056,Hard,12,8,4,1.7626,1.8358,0.2939,0.0265,28,3,94,178600,4,48,100608,12.0,12.0,0.0,PASS,PASS,OK,
CKT_0057,Hard,12,7,5,1.7201,1.8155,0.293,0.0265,28,3,82,136120,4,48,100608,7.55,7.567,0.017,PASS,PASS,OK,
CKT_0058,Hard,12,8,4,1.7626,1.8253,0.3318,0.0265,28,3,94,178600,4,48,100608,3.3,3.3,0.0,PASS,PASS,OK,
CKT_0059,Hard,12,7,5,1.7105,1.8025,0.2909,0.0266,28,3,82,136120,4,48,100608,0.05,0.066,0.016,PASS,PASS,OK,
CKT_0060,Hard,13,8,5,1.7462,1.8372,0.2883,0.0278,30,3,94,178600,4,48,100608,17.1,17.1311,0.0311,PASS,PASS,OK,
CKT_0061,Hard,13,10,3,1.8442,1.8856,0.2922,0.026,30,3,118,280840,4,48,100608,11.4,11.4013,0.0013,PASS,PASS,OK,
CKT_0062,Hard,16,11,5,1.881,1.9195,0.3538,0.0289,36,3,130,340600,4,48,100608,5.0,5.0088,0.0088,PASS,PASS,OK,
CKT_0063,Hard,16,12,4,1.9502,1.9808,0.2953,0.0285,36,3,142,406120,4,48,100608,0.25,0.2298,0.0202,PASS,PASS,OK,
CKT_0064,Hard,17,14,3,2.0813,2.0674,0.3353,0.0355,38,3,166,554440,4,48,100608,9.0,8.9905,0.0095,PASS,PASS,OK,
CKT_0065,Hard,11,6,5,1.6599,1.7819,0.3237,0.0215,26,3,70,99400,4,48,100608,10.2,10.1916,0.0084,PASS,PASS,OK,
CKT_0066,Hard,13,8,5,1.7479,1.8191,0.319,0.0247,30,3,94,178600,4,48,100608,12.4,12.4153,0.0153,PASS,PASS,OK,
CKT_0067,Hard,11,6,5,1.6833,1.7788,0.2886,0.0221,26,3,70,99400,4,48,100608,21.2,21.2617,0.0617,FAIL,PASS,OK,
CKT_0068,Hard,13,8,5,1.7512,1.8298,0.2953,0.0244,30,3,94,178600,4,48,100608,23.95,24.0,0.05,FAIL,PASS,OK,
